make,model,manufactured,type_of_vehicle,transmission,power,fuel_type,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,opc_scheme,price,reg_year,almost new car,coe car,consignment car,direct owner sale,hybrid cars,imported used vehicle,low mileage car,opc car,parf car,premium ad car,rare & exotic,sgcarmart warranty cars,sta evaluated car,vintage cars
16,184,2016.0,7,0,140.0,2,2354.0,3.0,15870.0,46502,1628.0,27206.0,86000.0,30143.0,34201.0,2,45800.0,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,259,2019.0,7,0,155.0,2,1991.0,1.0,24340.0,41805,1202.0,63175.0,105000.0,43770.0,53278.0,2,161800.0,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,446,2018.0,6,0,97.0,2,1496.0,2.0,14240.0,26301,682.0,19110.0,47000.0,19924.0,9924.0,2,70800.0,2019,0,0,0,0,0,0,1,0,1,1,0,0,0,0
31,116,2022.0,7,0,243.0,0,2925.0,1.0,44570.0,108006,3268.0,194953.0,52000.0,89365.0,136603.0,2,450000.0,2023,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5,16,2018.0,3,0,75.0,2,1499.0,3.0,13980.0,38001,684.0,39297.0,163888.0,32789.0,37905.0,2,72888.0,2018,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16,164,2018.0,2,0,88.0,2,1497.0,2.0,13020.0,38389,684.0,25705.0,95000.0,17233.0,17233.0,2,57800.0,2018,0,0,0,0,0,0,0,0,1,1,0,1,0,0
3,382,2019.0,7,0,85.0,2,999.0,1.0,16260.0,26659,392.0,31345.0,90000.0,24924.0,26894.0,2,89800.0,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,493,2015.0,0,0,90.0,2,1498.0,3.0,14230.0,56989,684.0,18889.0,113000.0,22664.0,18730.0,2,30800.0,2015,0,0,0,0,0,0,0,0,1,0,0,1,0,0
54,265,2015.0,0,0,92.0,2,1395.0,2.0,15830.0,53000,624.0,17656.0,109000.0,20513.0,10719.0,2,38888.0,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,446,2018.0,6,0,101.0,3,1496.0,2.0,14890.0,38700,682.0,18094.0,65000.0,20960.0,5000.0,2,59600.0,2018,0,0,0,0,1,0,0,0,1,1,0,0,0,0
52,278,2008.0,7,0,118.0,2,2362.0,5.0,11920.0,37941,2457.0,20010.0,130650.0,27778.0,27778.0,2,62888.0,2009,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22,161,2014.0,2,0,95.0,2,1591.0,2.0,11850.0,39241,738.0,38273.0,112000.0,13767.0,8767.0,2,57800.0,2014,0,1,0,0,0,0,0,0,0,1,0,1,0,0
52,223,2008.0,3,0,125.0,2,2362.0,4.0,12910.0,50578,2457.0,17973.0,170000.0,28187.0,28187.0,2,45888.0,2008,0,1,0,0,0,0,0,0,0,1,0,0,0,0
18,125,2009.0,2,0,89.0,2,1591.0,5.0,9910.0,25727,1107.0,11475.0,140000.0,11635.0,336.0,2,44188.0,2009,0,1,0,0,0,0,1,0,0,1,0,0,0,0
37,390,2017.0,7,0,85.0,2,1197.0,1.0,14340.0,50789,508.0,22315.0,81368.0,18583.0,13583.0,2,46800.0,2017,0,0,0,0,0,0,0,0,1,1,0,0,0,0
18,125,2009.0,2,0,89.0,2,1591.0,4.0,10010.0,26175,1107.0,12765.0,199661.0,11216.0,11216.0,2,48800.0,2009,0,1,1,0,0,0,0,0,0,0,0,0,0,0
25,415,2023.0,7,0,184.0,3,2487.0,1.0,34670.0,150001,1784.0,180001.0,8000.0,73915.0,120788.0,2,377800.0,2023,1,0,0,0,1,0,1,0,1,0,0,0,0,0
29,12,2016.0,1,0,141.0,2,2488.0,3.0,12510.0,49700,1786.0,26306.0,109062.0,27853.0,30995.0,2,38800.0,2016,0,0,0,0,0,0,0,0,1,1,0,0,0,0
54,265,2018.0,0,0,92.0,2,1395.0,2.0,15870.0,27000,624.0,31987.0,44000.0,24707.0,26590.0,2,91888.0,2019,0,0,0,0,0,0,1,0,1,1,0,0,0,0
22,471,2020.0,7,0,88.0,2,998.0,1.0,14170.0,38504,392.0,30766.0,34296.0,19037.0,9037.0,2,92800.0,2020,0,0,0,0,0,0,1,0,1,0,0,0,0,0
29,25,2019.0,2,0,88.0,3,1496.0,1.0,15330.0,37690,682.0,34489.0,72000.0,26036.0,13451.0,2,105988.0,2021,0,0,0,0,1,0,0,0,1,0,0,0,0,0
46,318,2017.0,6,0,85.0,2,999.0,1.0,12750.0,28199,392.0,32338.0,94000.0,25933.0,28307.0,2,70800.0,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,383,2021.0,7,0,110.0,2,1395.0,1.0,19940.0,47001,624.0,54458.0,42000.0,27557.0,30580.0,2,148999.0,2021,0,0,0,0,0,0,0,0,1,1,0,0,0,0
18,284,2018.0,0,0,103.0,2,1353.0,1.0,15770.0,36961,600.0,30191.0,57500.0,18103.0,18103.0,2,83800.0,2019,0,0,0,0,0,0,0,0,1,1,0,1,0,0
37,356,2021.0,0,0,85.0,3,1198.0,2.0,13970.0,60761,714.0,51509.0,24467.0,21061.0,6486.0,2,110500.0,2022,0,0,0,0,1,0,0,0,1,1,0,0,0,0
18,216,2017.0,2,0,93.0,2,1591.0,2.0,15980.0,41761,738.0,21893.0,123000.0,11960.0,11960.0,2,60000.0,2017,0,0,0,0,0,0,0,0,1,1,0,0,0,0
33,178,2015.0,0,0,100.0,2,1499.0,2.0,19110.0,46970,684.0,21766.0,98200.0,27192.0,25069.0,2,45000.0,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,221,2015.0,1,0,135.0,2,2494.0,1.0,18320.0,62140,1792.0,32758.0,87337.0,39966.0,47953.0,2,42800.0,2015,0,0,0,0,0,0,1,0,1,1,0,0,0,0
31,258,2018.0,7,0,135.0,2,1991.0,2.0,23440.0,31001,1202.0,49741.0,123000.0,42569.0,51597.0,2,128800.0,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,502,2017.0,7,0,112.0,3,1496.0,2.0,14870.0,50001,682.0,18483.0,76000.0,25340.0,5000.0,2,47800.0,2017,0,0,0,0,1,0,0,0,1,0,0,0,0,0
16,165,2007.0,2,0,92.0,2,1595.0,6.0,16910.0,42698,1110.0,15137.0,136000.0,18919.0,20811.0,2,60000.0,2008,0,1,0,0,0,0,1,0,0,1,0,0,0,0
31,116,2013.0,1,0,115.0,2,1595.0,5.0,11830.0,99617,814.0,79694.0,119000.0,29909.0,23873.0,2,109800.0,2013,0,1,0,0,0,0,0,0,0,1,0,1,0,0
5,43,2017.0,1,0,135.0,2,1998.0,2.0,21170.0,47501,1210.0,40507.0,105000.0,40838.0,44174.0,2,84500.0,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,142,2008.0,1,0,115.0,2,1796.0,5.0,11380.0,31335,1461.0,14260.0,165000.0,37067.0,37067.0,2,51800.0,2009,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,177,2013.0,5,0,373.0,2,3993.0,5.0,28640.0,45586,4334.0,30212.0,108000.0,172046.0,281683.0,2,189800.0,2013,0,1,1,0,0,0,0,0,0,0,0,0,0,0
54,368,2016.0,1,0,132.0,2,1798.0,1.0,14400.0,50089,976.0,25150.0,107529.0,31415.0,30981.0,2,38800.0,2016,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,90,2016.0,0,0,70.0,2,999.0,5.0,15850.0,48556,392.0,17925.0,82308.0,21256.0,6759.0,2,48800.0,2017,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16,502,2017.0,7,0,112.0,3,1496.0,1.0,14750.0,53001,682.0,18276.0,94000.0,26381.0,5000.0,2,45000.0,2017,0,0,0,0,1,0,0,0,1,1,0,0,0,0
3,385,2019.0,7,0,185.0,2,1984.0,1.0,22720.0,35889,1194.0,61850.0,61000.0,43839.0,53375.0,2,164800.0,2020,0,0,0,0,0,0,0,0,1,1,0,0,0,0
52,113,2019.0,3,0,134.0,2,2493.0,2.0,26730.0,41001,1792.0,62153.0,54000.0,40098.0,48138.0,2,193888.0,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,332,2014.0,7,0,250.0,2,2997.0,4.0,48410.0,77600,2382.0,57470.0,116000.0,71450.0,100610.0,2,95000.0,2015,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18,247,2008.0,0,1,48.0,2,1086.0,1.0,9090.0,30284,663.0,13267.0,130000.0,7890.0,7890.0,2,39800.0,2008,0,1,0,0,0,0,1,0,0,0,0,0,0,0
52,278,2021.0,7,0,160.0,3,2487.0,2.0,25680.0,61001,1784.0,68692.0,60000.0,40927.0,34298.0,2,198000.0,2021,0,0,0,1,1,0,0,0,1,0,0,0,0,0
55,433,2013.0,1,0,84.0,0,1560.0,2.0,9230.0,79237,1278.0,77240.0,135104.0,32318.0,22246.0,2,89998.0,2014,0,1,1,0,0,0,0,0,0,0,0,0,0,0
41,156,2015.0,7,0,220.0,2,3598.0,3.0,40090.0,59889,3322.0,76913.0,146053.0,83334.0,122002.0,2,126688.0,2016,0,0,0,0,0,0,0,0,1,1,0,0,0,0
24,201,2015.0,7,0,177.0,2,1999.0,2.0,20800.0,60001,1212.0,56032.0,49973.0,63835.0,86903.0,2,71998.0,2015,0,0,0,0,0,0,1,0,1,0,0,0,0,0
55,433,2017.0,1,0,140.0,0,1969.0,2.0,14500.0,48001,1764.0,29342.0,113000.0,28059.0,21283.0,2,58000.0,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,124,2021.0,2,0,59.0,2,1193.0,1.0,11910.0,41001,506.0,33113.0,19498.0,14397.0,5000.0,2,87800.0,2021,0,0,0,0,0,0,1,0,1,0,0,1,0,0
34,310,2008.0,2,0,80.0,2,1499.0,1.0,12680.0,27571,1026.0,12154.0,123928.0,18193.0,18193.0,2,55888.0,2008,0,1,0,1,0,0,1,0,0,0,0,0,0,0
50,240,2016.0,7,0,177.0,2,1998.0,2.0,14990.0,48209,1210.0,24143.0,99000.0,19237.0,19237.0,2,48800.0,2017,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16,204,2024.0,3,0,242.0,3,1993.0,1.0,21780.0,102334,1204.0,112080.0,45.0,38060.0,40284.0,2,236988.0,2024,1,0,0,0,1,0,1,0,1,0,0,0,0,0
29,12,2019.0,7,0,121.0,2,1998.0,1.0,16650.0,39889,1210.0,45230.0,100773.0,29591.0,33428.0,2,102000.0,2019,0,0,0,0,0,0,0,0,1,1,0,0,0,0
31,166,2016.0,6,0,90.0,2,1595.0,2.0,16510.0,53000,740.0,27283.0,112638.0,31065.0,30491.0,2,48000.0,2016,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5,515,2011.0,7,0,225.0,2,2979.0,5.0,17720.0,53932,3071.0,38004.0,140000.0,60060.0,60060.0,2,124888.0,2011,0,1,0,0,0,0,0,0,0,1,0,0,0,0
55,493,2018.0,0,0,140.0,2,1969.0,1.0,15180.0,39889,1176.0,38703.0,65404.0,22799.0,23919.0,2,91000.0,2019,0,0,0,0,0,0,0,0,1,1,0,0,0,0
31,253,2017.0,7,0,90.0,2,1595.0,2.0,18470.0,41400,740.0,35452.0,73000.0,28082.0,31315.0,2,83000.0,2018,0,0,0,0,0,0,0,0,1,1,0,0,0,0
52,278,2016.0,7,0,111.0,2,1986.0,2.0,17190.0,47604,1196.0,23697.0,94448.0,28882.0,27435.0,2,44800.0,2016,0,0,0,0,0,0,0,0,1,1,0,0,0,0
31,93,2018.0,0,0,120.0,2,1332.0,2.0,19950.0,31101,586.0,39890.0,58400.0,32046.0,36865.0,2,108800.0,2019,0,0,0,0,0,0,0,0,1,1,0,0,0,0
31,207,2006.0,1,0,120.0,2,1796.0,2.0,11400.0,52491,1461.0,15100.0,146208.0,57169.0,40019.0,2,32800.0,2007,0,1,0,0,0,0,1,0,0,1,0,0,0,0
29,193,2021.0,7,0,85.0,2,1496.0,1.0,16040.0,48002,682.0,47949.0,58000.0,19638.0,19638.0,2,120800.0,2021,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3,95,2016.0,1,0,92.0,2,1395.0,1.0,15180.0,47889,624.0,17773.0,57236.0,25118.0,17166.0,2,35000.0,2016,0,0,0,1,0,0,1,0,1,0,0,0,0,0
31,142,2016.0,1,0,115.0,2,1595.0,4.0,19710.0,55001,740.0,30742.0,78000.0,35589.0,36825.0,2,56000.0,2016,0,0,0,0,0,0,1,0,1,1,0,1,0,0
22,442,2020.0,7,0,103.0,2,1353.0,1.0,15660.0,47506,600.0,47120.0,35000.0,21202.0,21683.0,2,115888.0,2021,0,0,0,0,0,0,0,0,1,1,0,0,0,0
55,436,2019.0,1,0,187.0,2,1969.0,3.0,20770.0,47001,1176.0,65559.0,45000.0,38681.0,46154.0,2,159800.0,2021,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16,296,2007.0,0,0,60.0,2,1339.0,1.0,11640.0,42564,885.0,13457.0,134000.0,14400.0,15840.0,2,36800.0,2007,0,1,0,0,0,0,1,0,0,1,0,0,0,0
3,95,2021.0,0,0,110.0,3,1498.0,1.0,17670.0,63002,684.0,53895.0,22000.0,27268.0,15176.0,2,126800.0,2021,0,0,0,0,1,0,1,0,1,0,0,0,0,0
16,204,2015.0,3,0,129.0,2,2356.0,2.0,17940.0,60001,1630.0,24568.0,127000.0,28590.0,32026.0,2,36800.0,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,90,2020.0,0,0,85.0,2,999.0,1.0,15070.0,57010,392.0,61952.0,16000.0,23987.0,25582.0,2,125800.0,2021,0,0,0,0,0,0,1,0,1,1,0,0,0,0
5,16,2021.0,0,0,80.0,2,1499.0,2.0,15390.0,47821,684.0,60333.0,75813.0,31169.0,35637.0,2,125998.0,2021,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5,327,2010.0,5,0,309.0,2,3999.0,5.0,19590.0,45586,5527.0,30212.0,150000.0,85932.0,85932.0,2,129800.0,2011,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16,165,2019.0,2,0,92.0,2,1597.0,2.0,15980.0,31917,742.0,31200.0,82000.0,20072.0,20101.0,2,90800.0,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,57,2010.0,1,0,150.0,2,2497.0,6.0,14510.0,37502,2694.0,19594.0,177000.0,37893.0,37893.0,2,75800.0,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,243,2019.0,3,0,101.0,3,1496.0,1.0,16990.0,38602,682.0,34524.0,37983.0,27173.0,20043.0,2,95800.0,2019,0,0,0,0,1,0,1,0,1,0,0,1,0,0
9,147,2017.0,7,0,81.0,2,1199.0,2.0,12520.0,38200,508.0,16751.0,146146.0,18278.0,5000.0,2,46800.0,2017,0,0,0,0,0,0,0,0,1,1,0,0,0,0
52,507,2017.0,3,0,105.0,2,1798.0,4.0,17290.0,38801,976.0,27970.0,86148.0,19955.0,19955.0,2,76800.0,2018,0,0,0,0,0,0,0,0,1,0,0,1,0,0
19,387,2017.0,5,0,155.0,2,1991.0,2.0,20450.0,55000,1202.0,46292.0,99000.0,38231.0,45524.0,2,84888.0,2017,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16,235,2018.0,0,0,73.0,2,1317.0,1.0,13160.0,38001,578.0,19327.0,83699.0,17390.0,7390.0,2,53999.0,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,493,2017.0,0,0,140.0,2,1969.0,1.0,15450.0,42661,1176.0,33597.0,100898.0,26078.0,28510.0,2,68822.0,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,513,2019.0,7,0,103.0,2,1499.0,1.0,17970.0,34000,684.0,48876.0,73000.0,35726.0,42017.0,2,112800.0,2019,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5,21,2015.0,5,0,180.0,2,1997.0,2.0,24830.0,59889,1210.0,38528.0,120000.0,45011.0,55016.0,2,61800.0,2016,0,0,0,0,0,0,0,0,1,1,0,1,0,0
25,221,2019.0,1,0,152.0,2,2487.0,2.0,23250.0,48010,1784.0,57302.0,101000.0,39999.0,47999.0,2,138800.0,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,278,2015.0,7,0,111.0,2,1986.0,1.0,16550.0,47000,1196.0,22943.0,119822.0,29165.0,27831.0,2,40800.0,2016,0,0,0,0,0,0,0,0,1,1,0,0,0,0
31,141,2020.0,1,0,95.0,2,1497.0,2.0,19470.0,32699,684.0,49530.0,57000.0,34175.0,39845.0,2,136888.0,2020,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16,472,2008.0,3,0,103.0,2,1799.0,2.0,11480.0,37941,1467.0,19812.0,154000.0,26813.0,26813.0,2,59988.0,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,502,2016.0,7,0,96.0,2,1496.0,3.0,15400.0,47020,682.0,18518.0,120000.0,22511.0,13516.0,2,40888.0,2016,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5,326,2020.0,5,0,302.0,2,2979.0,1.0,34120.0,118001,2362.0,159034.0,650.0,50701.0,68332.0,2,345800.0,2023,1,0,0,0,0,0,1,0,1,0,1,0,0,0
52,355,2019.0,3,0,100.0,3,1797.0,2.0,23160.0,39889,974.0,40106.0,65488.0,33708.0,29192.0,2,128800.0,2019,0,0,0,0,1,0,0,0,1,1,0,0,0,0
5,77,2016.0,1,0,190.0,2,1998.0,2.0,27810.0,58201,1210.0,71965.0,137000.0,70260.0,98468.0,2,110800.0,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,278,2018.0,7,0,170.0,2,1998.0,1.0,18620.0,39401,1210.0,42834.0,78643.0,30806.0,35129.0,2,103800.0,2019,0,0,0,0,0,0,0,0,1,1,0,1,0,0
5,327,2010.0,5,0,309.0,2,3999.0,6.0,21540.0,53932,5132.0,38004.0,103000.0,84556.0,84556.0,2,151800.0,2011,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7,363,2017.0,3,0,103.0,2,1362.0,1.0,13400.0,52751,604.0,27088.0,87000.0,15704.0,15704.0,2,50800.0,2017,0,0,0,0,0,0,0,0,1,1,0,0,0,0
29,12,2021.0,7,0,121.0,2,1998.0,1.0,16830.0,77700,1210.0,74230.0,36000.0,21588.0,22224.0,2,135800.0,2022,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,53,2023.0,7,0,96.0,2,1199.0,1.0,16700.0,97000,508.0,106882.0,10000.0,33602.0,39043.0,2,168800.0,2023,0,0,0,0,0,0,1,0,1,1,0,0,0,0
52,379,2015.0,3,0,125.0,2,2362.0,1.0,20390.0,61103,1638.0,33099.0,135800.0,37090.0,43926.0,2,51800.0,2015,0,0,0,0,0,0,0,0,1,1,0,0,0,0
37,390,2016.0,7,0,106.0,2,1997.0,2.0,12680.0,56206,1210.0,25481.0,86900.0,19653.0,19653.0,2,40700.0,2016,0,0,0,0,0,0,0,0,1,1,0,0,0,0
31,142,2011.0,1,0,115.0,2,1597.0,2.0,12780.0,45272,965.0,31889.0,89000.0,31019.0,31019.0,2,90000.0,2011,0,1,0,0,0,0,1,0,0,1,0,0,0,0
5,45,2022.0,1,0,180.0,2,1998.0,1.0,26050.0,134889,1210.0,167911.0,11700.0,63866.0,95665.0,2,282800.0,2023,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5,513,2018.0,7,0,103.0,2,1499.0,2.0,18970.0,30959,684.0,41636.0,48000.0,34049.0,39669.0,2,104800.0,2018,0,0,0,0,0,0,1,0,1,0,0,0,0,0
31,142,2012.0,1,0,115.0,2,1595.0,2.0,12560.0,85845,888.0,68676.0,125000.0,35059.0,30059.0,2,108800.0,2013,0,1,0,0,0,0,0,0,0,1,0,0,0,0
52,529,2021.0,7,0,82.0,3,1490.0,1.0,15610.0,45001,680.0,43944.0,49000.0,27868.0,16016.0,2,118800.0,2021,0,0,0,0,1,0,0,0,1,0,0,1,0,0
31,207,2016.0,1,0,135.0,2,1991.0,2.0,25620.0,55501,1202.0,55605.0,57000.0,54933.0,70880.0,2,95800.0,2016,0,0,0,0,0,0,1,0,1,1,0,0,0,0
16,296,2018.0,0,0,73.0,2,1318.0,2.0,13100.0,16798,78.0,11730.0,50800.0,15594.0,5594.0,1,63777.0,2019,0,0,0,0,0,0,1,1,1,1,0,0,0,0
52,181,2020.0,2,0,96.0,2,1598.0,1.0,14960.0,33520,742.0,36493.0,60000.0,21787.0,22502.0,2,98800.0,2020,0,0,0,0,0,0,0,0,1,1,0,1,0,0
41,156,2011.0,7,0,220.0,2,3598.0,3.0,18760.0,47316,4319.0,32538.0,169407.0,78628.0,78628.0,2,128998.0,2011,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29,12,2018.0,7,0,115.0,2,1998.0,2.0,13910.0,36000,1210.0,36392.0,34887.0,21427.0,21998.0,2,87888.0,2019,0,0,0,0,0,0,1,0,1,0,0,0,0,0
20,523,2016.0,1,0,132.0,0,1999.0,3.0,15580.0,53001,1812.0,35748.0,142017.0,36762.0,33467.0,2,62800.0,2017,0,0,0,0,0,0,0,0,1,1,0,1,0,0
16,104,2007.0,5,1,162.0,2,1998.0,2.0,23290.0,52077,1815.0,13825.0,264000.0,32182.0,35401.0,2,61888.0,2007,0,1,0,1,0,0,0,0,0,0,0,0,0,0
38,290,2019.0,1,0,100.0,0,1598.0,1.0,13950.0,32200,1182.0,35083.0,99000.0,26075.0,28505.0,2,79800.0,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,116,2018.0,1,0,145.0,3,1497.0,2.0,22160.0,39400,684.0,57112.0,60000.0,42178.0,51050.0,2,141800.0,2019,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5,325,2017.0,0,0,250.0,2,2998.0,2.0,34230.0,55000,2384.0,41471.0,40000.0,36482.0,43075.0,2,118800.0,2017,0,0,0,0,0,0,1,0,1,1,0,0,0,0
31,337,2022.0,7,0,426.0,3,3982.0,1.0,81000.0,98389,3922.0,391918.0,11500.0,216196.0,415632.0,2,868000.0,2022,0,0,0,0,1,0,1,0,1,0,0,0,0,0
24,400,2017.0,7,0,177.0,2,1999.0,2.0,22610.0,50110,1212.0,61994.0,102400.0,59076.0,78337.0,2,106800.0,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,516,2018.0,7,0,135.0,2,1998.0,2.0,26120.0,32302,1210.0,52956.0,110000.0,45356.0,55499.0,2,141800.0,2018,0,0,0,0,0,0,0,0,1,1,0,0,0,0
