,0,Predicted
253,69989.92,
254,286873.06,
255,92268.26,
256,140599.54,
257,118392.87,
258,186122.13,
259,18676.565952380955,
260,59936.235,
261,111356.56,
262,18451.88,
263,47477.862,
264,41819.58,
265,545688.21,
266,22873.5,
267,26312.32,
268,123420.0,
269,133966.27,
270,66602.46,
271,212214.765,
272,65535.66,
273,61586.79,
274,87739.27,
275,40347.145,
276,192660.1,
277,184904.2,
278,40258.0,
279,364536.32,
280,293223.145,
281,63311.06,
282,64453.48,
283,170450.415,
284,172919.26,
285,99585.34,
286,24662.0,
287,26474.6,
288,62021.12958333333,
289,117405.22,
290,112440.83,
291,134126.08,
292,97234.67,
293,147240.365,
294,85333.58,
295,91427.03,
296,1327870.24,
297,134701.46,
298,63980.0,
299,117314.72,
300,33560.445,
301,214597.515,
302,113625.0,
303,520922.0,
304,272242.32,
305,44959.735,
306,120411.415,
307,120132.41045454545,
308,165050.06,
309,110518.855,
310,216433.485,
311,74118.64,
312,29051.545,
313,64808.97,
314,38634.58,
315,40052.31,
316,85179.24,
317,41213.72,
318,39184.6,
319,22074.16,
320,131174.955,
321,188903.12,
322,66268.36,
323,35325.32,
324,76904.535,
325,95316.84,
326,53697.025,
327,46826.96,
328,135251.99,
329,80241.985,
330,101413.795,
331,70448.5,
332,44684.22,
333,88113.135,
334,67891.94,
335,75992.16,
336,75854.5,
337,93192.64,
338,20169.68,
339,37039.965,
340,114722.52,
341,65034.38,
342,119663.26,
343,266795.44,
344,200077.73,
345,136415.03,
346,151322.56,
347,57885.235,
348,255105.99,
349,158357.6,
350,98513.38,
351,87384.05,
352,68430.08,
353,122690.035,
354,105205.0,
355,80952.04,
356,32299.2,
357,69368.785,
358,47733.615,
359,57756.0,
360,127993.52,
361,189167.84,
362,32128.38,
363,186305.16,
364,62252.4,
365,82900.47,
366,68113.405,
367,184354.0,
368,83160.63,
369,27952.365,
370,61305.165,
371,52441.82,
372,143521.36,
373,72530.88,
374,129834.56,
375,72090.36825,
376,50197.53,
377,87216.735,
378,54811.46,
379,84059.82,
380,96881.46,
381,78351.755,
382,180792.775,
383,91658.035,
384,106800.0,
385,41089.095,
386,160988.0,
387,56638.095,
388,59586.07333333334,
389,39480.74,
390,29215.735,
391,92755.48,
392,97147.615,
393,35095.4,
394,62288.44,
395,107739.839,
396,50462.62,
397,44515.99,
398,117925.0,
399,69058.0,
400,53770.015,
401,89980.0,
403,107576.765,
404,799841.24,
405,249141.92,
406,48821.225,
407,62008.66,
408,146928.16,
409,330729.245,
410,28060.08,
411,114828.51166666667,
413,54595.58,
414,86752.955,
415,113860.0,
416,144909.35,
417,37862.78,
418,100863.5,
419,119734.24,
420,337792.64,
421,100345.851,
422,166390.12,
423,38703.94,
424,44535.255,
425,65447.095,
426,96706.32,
427,69201.485,
428,68837.48,
429,37540.0,
430,120887.13,
431,59531.64,
432,30737.07,
433,83806.36,
434,62572.0,
435,67390.62,
436,280847.1,
437,45104.84,
438,69594.42,
439,200305.28,
441,94377.14,
442,23667.015,
443,119885.98,
444,37059.14,
445,176476.24,
446,39428.355,
447,81002.96,
448,70701.2,
449,224658.46,
450,33557.4,
451,99667.14,
452,375961.62,
453,119335.78,
454,116418.94,
455,106972.935,
456,60612.54,
457,57264.245,
458,117142.82,
459,125872.56,
460,46514.89,
461,44221.285,
462,246259.36,
463,76387.18666666668,
464,152607.24,
465,345463.455,
466,298672.445,
467,96534.76,
468,131039.32,
469,81035.16,
470,92152.32,
471,52765.85,
472,40466.605,
473,128559.115,
474,171325.1,
475,98179.6,
476,14353.46,
477,108394.88,
478,69333.47,
479,118698.0,
480,60091.915,
481,66941.385,
482,86003.22,
483,45290.28,
484,251591.38,
485,140958.76,
486,132501.02,
487,39294.84,
488,92380.52,
489,164769.565,
490,47136.0,
491,97825.0,
492,348040.38,
493,39779.45,
494,79205.74166666667,
495,137386.0,
496,54623.38,
497,47850.275,
498,33597.64,
499,72875.2,
500,35898.025,
501,72701.455,
502,43831.17,
503,123872.075,
504,164237.82,
505,46382.22666666667,
506,82784.24,
507,85338.91,
508,76351.6689484127,
509,58894.395,
510,81106.695,
511,85849.68,
512,95822.01,
513,65920.2,
514,27555.78,
515,73906.395,
516,50757.74,
517,102044.02107142858,
518,93784.99,
519,62611.5,
520,51590.0,
521,155422.375,
522,26587.72,
523,82207.61611111111,
524,99989.35,
525,66967.0,
526,48208.395,
527,176347.015,
528,911535.0,
529,81809.92,
530,61152.88,
531,45670.0,
532,153942.33,
533,41735.32,
534,70755.425,
535,78155.665,
536,86512.07833333332,
537,61221.96,
538,31691.52,
539,214293.215,
540,98334.8,
541,390977.66,
542,75074.585,
543,100140.49,
544,238135.04,
545,111542.23,
546,76486.525,
547,84159.235,
548,13113.0,
549,121216.67,
550,22439.31,
551,97587.34,
552,99291.52,
553,70120.0,
554,659311.0,
555,58163.87,
556,127165.86,
557,98920.58,
558,60198.47,
559,286853.08,
560,71002.48,
561,40423.41,
562,115810.78,
563,50145.43,
564,17001.14,
565,101352.38,
566,33262.26,
567,99298.34,
568,52298.815,
569,296595.86,
570,47530.84,
571,44988.6,
572,116738.04,
573,29391.8,
574,75538.5,
575,91763.7342857143,
576,44641.45354545455,
577,114205.035,
578,1347950.0,
579,161111.76,
580,44177.14,
581,17120.54,
582,144444.44,
583,543129.4,
584,40525.53,
585,95284.155,
586,28794.88,
587,157433.385,
588,82016.61357142858,
589,71955.07428571429,
590,110852.9,
591,87916.28,
592,288900.9,
593,70177.5,
594,40125.9,
595,204104.29,
596,52800.0,
597,131445.995,
598,207581.625,
599,69146.875,
600,38205.94,
601,35544.8,
602,68198.195,
603,24637.6035,
604,40248.15,
605,53939.7,
606,66155.68,
607,331374.84,
608,38730.58,
609,27426.18,
610,98164.48,
611,67060.78,
612,54889.23,
613,149696.7,
614,55915.879,
615,148031.88,
616,595441.66,
617,144408.2,
618,225800.0,
619,62796.0,
620,243385.28,
621,36525.69,
622,25427.7,
623,47691.86,
624,71736.34,
625,89273.02,
626,502752.6,
627,19557.0,
628,22872.2,
629,66456.25,
630,109652.96,
631,80603.54,
632,71307.97,
633,59626.625,
634,44692.74,
635,37430.7,
636,62764.145,
637,320661.42,
638,106857.275,
639,128260.68,
640,137582.985,
641,234090.42,
642,44226.32,
643,58610.98,
644,118961.765,
645,41834.88,
646,41183.125,
647,83177.94,
648,35922.46,
649,31341.0,
650,836776.44,
651,65580.5,
652,76254.325,
653,65026.605,
654,26643.585,
655,74289.215,
656,48425.24,
657,165283.68,
658,71150.445,
659,110727.26666666668,
660,24827.62,
661,29559.01,
662,52278.88,
663,159802.55,
664,67113.96,
665,193530.515,
666,40988.28,
667,88382.925,
668,63374.3,
669,54277.36666666667,
670,248853.1,
671,26227.0,
672,13339.92,
673,84490.805,
674,76391.41,
675,12865.3,
676,89779.0,
677,71185.865,
678,180253.08,
679,179648.92,
680,37911.46,
681,290220.485,
682,158398.18,
683,161902.48,
684,115519.655,
685,68363.36,
686,66988.25,
687,70435.65,
688,90256.76,
689,469728.02,
690,41181.02,
691,124800.0,
692,105907.02,
693,94738.685,
694,92791.66,
695,45451.36,
696,110620.01,
697,79128.145,
698,194241.455,
699,151338.08,
700,195151.96,
701,51498.4,
702,78163.405,
703,56106.455,
704,24692.87,
705,35690.0,
706,32630.530303030304,
707,84936.47,
708,19477.54,
709,75695.58,
710,57639.36,
711,46175.74,
712,57005.00666666666,
713,50755.0,
714,164783.095,
715,109044.93,
716,103849.34,
717,59806.5,
718,31310.96,
719,136485.075,
720,168990.405,
721,48361.1,
722,109250.21,
723,80850.995,
724,49367.325,
725,602051.0,
726,27669.155,
727,2001236.64,
728,169752.04,
729,128289.76,
730,90554.665,
731,17851.265,
732,74022.94,
733,66259.16,
734,191566.2,
735,66820.0,
736,52344.63,
737,82040.0,
738,117502.09,
739,40565.46,
740,45046.36,
741,290385.44,
742,81949.535,
743,89638.4,
744,106896.98,
745,59476.72,
746,119800.0,
747,191653.58,
748,43784.3,
749,55494.31,
750,73876.52,
751,91753.765,
752,18442.5,
753,85968.96,
754,56949.12,
755,79787.12,
756,99979.54666666666,
757,76819.24,
759,52686.22,
760,239525.34,
761,117950.36,
762,121977.0,
763,208347.0,
764,97709.47,
765,31096.255,
766,351121.42,
767,83514.645,
768,57586.13,
769,15832.6,
770,148955.2,
771,21446.5,
772,27536.525,
773,102050.9735,
774,85822.8,
775,52536.0,
776,268199.26,
777,38014.72,
778,34997.99,
779,50356.705,
780,68216.695,
781,43071.895,
782,28322.38,
783,60210.595,
784,40078.4,
785,73488.505,
786,184130.28,
787,51870.525,
788,99942.905,
789,60701.305,
790,60741.72,
791,87945.69,
792,97958.22,
793,93329.445,
794,86460.0,
795,38048.46,
796,93040.0,
797,48866.8,
798,206997.0,
799,47700.84,
800,98085.72,
801,88318.675,
802,130544.5,
803,117587.775,
804,69098.23,
805,16046.5,
806,198734.7,
807,42122.72,
808,51180.92179329005,
809,97122.68,
810,195320.98,
811,532340.0,
812,32057.495,
813,49503.68,
814,162499.86,
815,137835.6,
816,578092.36,
817,118440.295,
818,45089.1,
819,728912.78,
820,24918.0,
821,41883.48,
822,288715.64,
823,39149.0,
824,28600.735,
825,60881.45,
826,136964.095,
827,31503.145,
828,549322.2,
829,151153.72,
830,106816.82,
831,212858.4,
832,116448.14,
833,100476.05,
834,40558.76,
835,53356.28,
836,168047.96,
837,95472.22,
838,28474.435,
839,35941.88,
840,12465.33,
841,57301.42,
842,265346.8,
843,104626.16,
844,79761.13,
845,87980.26,
846,58814.48,
847,33933.92,
848,39326.227857142854,
849,85126.72,
850,241852.505,
851,163725.48,
852,65926.235,
853,85791.74,
854,44543.32,
856,63236.635,
857,21976.0,
858,72978.32,
859,65082.135,
860,114304.22,
861,49695.705,
862,91309.07,
863,58518.075,
864,54968.035,
865,83421.16,
866,186276.9,
867,90873.74,
868,35337.16,
869,309623.69,
870,215366.0,
871,73210.16,
872,113771.39,
873,52782.66,
874,194975.26,
875,89065.985,
876,39887.44,
877,160329.82,
878,126489.65,
879,65969.62,
880,56674.09,
881,56964.66333333334,
882,226761.47,
883,60139.495238095245,
884,36501.77,
885,90722.0,
886,20040.005,
887,102004.26,
888,227281.78,
889,557251.08,
890,59233.7,
891,163514.02,
892,25899.21,
893,56591.49,
894,14347.13,
895,75437.63,
896,163193.2,
897,185832.5,
898,534408.84,
899,28788.14,
900,83653.2,
901,174126.38,
902,10388.38,
903,20239.86,
904,95260.78,
905,156142.95,
906,56669.025,
907,93535.67,
908,31629.78,
909,89004.495,
910,43346.0,
911,169957.76,
912,105028.38,
913,115230.8,
914,99179.045,
915,46469.54,
916,42169.9,
917,60098.335,
918,196474.1,
919,63907.46,
920,26200.0,
921,110073.14,
922,150799.89833333335,
923,50215.055,
924,100721.12,
925,26509.625,
926,57549.18,
927,94583.25,
928,136744.0,
929,93155.08,
930,31297.93,
931,22991.46923076923,
932,54135.2,
933,74175.425,
934,64447.6,
935,67947.64561904762,
936,43416.52,
937,247462.12,
938,58165.0,
939,25652.5,
940,194388.05,
941,100330.76,
942,80611.46,
943,54532.81,
944,18463.32,
945,100474.66,
946,46172.58,
947,142310.865,
948,205051.925,
949,94923.92,
950,234977.04111111112,
951,108401.16,
952,100286.26,
953,124880.18,
954,57451.76,
955,103796.54,
956,65220.5,
957,40915.3,
958,51906.5,
959,165539.305,
960,44391.7,
961,66715.08,
962,47492.05,
963,158346.84,
964,70168.095,
965,64856.2,
966,51808.32,
967,447200.56,
968,49218.55,
969,116539.14,
970,30094.82,
971,57076.19,
972,155967.52,
973,27404.9,
974,94990.34,
975,50460.665,
976,172700.0,
977,75193.44,
978,141985.96,
979,92260.36,
980,80382.42333333334,
981,43078.225,
982,113626.175,
983,29102.78,
984,51065.9,
985,170223.24,
986,110000.0,
987,77985.34,
988,24316.38,
989,117724.75,
990,55698.48,
991,64013.025,
992,20065.04,
993,46800.0,
994,43758.8,
995,95526.215,
996,60271.74,
997,57699.265,
998,65148.37,
999,248376.0,
1000,52451.415,
1001,34818.51,
1002,49000.25,
1003,191304.73,
1004,54882.24885714286,
1005,26437.475,
1006,47092.0,
1007,117243.2,
1008,74646.52,
1009,33846.535,
1010,70488.1,
1011,87996.81,
1012,29556.34,
1013,68942.52,
1014,141293.6,
1015,153276.57,
1016,55504.34,
1017,49721.82,
1018,88600.1,
1019,53792.98,
1020,350340.345,
1021,24865.72,
1022,66950.0,
1023,89874.14,
1024,118772.5,
1025,35110.0,
1026,26587.6,
1027,115566.64,
1028,416205.85,
1029,88604.46,
1031,73798.84,
1032,137092.745,
1033,60283.92,
1034,78395.115,
1035,24913.045,
1036,116442.57,
1037,20096.875,
1038,95976.985,
1039,103501.325,
1040,38596.18,
1041,71690.64,
1042,1142355.4,
1043,75758.32,
1044,59870.0,
1045,37664.0,
1046,187830.66,
1047,81197.015,
1048,91717.96,
1049,139404.13,
1050,40453.6,
1051,34957.515,
1052,44828.495,
1053,31101.2,
1054,83385.54,
1055,17588.42,
1056,69538.355,
1057,138834.43,
1058,93817.29,
1059,137536.585,
1060,52484.34,
1061,144601.365,
1062,15988.76,
1063,165283.68,
1064,285199.3,
1065,54071.35,
1066,127696.94,
1067,290610.0,
1068,55507.26,
1069,123720.0,
1070,155946.005,
1071,83140.52,
1072,76724.28,
1073,209537.64166666663,
1074,16399.94,
1075,98008.565,
1076,91385.775,
1077,39801.28,
1078,64667.855,
1079,40572.92,
1080,24458.9,
1081,75233.0,
1082,104232.525,
1083,30302.16,
1085,29672.6,
1086,105985.83,
1087,19832.66,
1088,292957.045,
1089,52816.55,
1090,294778.98,
1091,100153.715,
1092,60701.165,
1093,108546.52,
1094,168968.405,
1095,209306.52,
1096,1315873.44,
1097,84120.64,
1098,62757.18,
1099,89333.8,
1100,58612.095,
1101,77530.94,
1102,61032.44,
1103,105080.24,
1104,51433.76,
1105,88848.16,
1106,44881.02,
1107,107983.44,
1108,46409.84,
1109,61142.88,
1110,48112.385,
1112,41775.39,
1113,129386.735,
1114,128301.48,
1115,12447.64,
1116,116455.865,
1117,141113.44,
1118,47952.38,
1119,35862.53,
1120,55069.77,
1121,196175.11,
1122,173885.36,
1123,39562.33,
1124,117095.25,
1125,53092.455,
1127,79843.445,
1128,185503.85999999996,
1129,101593.57,
1130,65342.72,
1131,95582.32,
1132,61112.0,
1133,272230.32,
1134,33278.76,
1135,219460.0,
1136,62415.415,
1137,70528.8,
1138,85896.4,
1139,49518.645,
1140,67889.565,
1141,104920.48,
1142,45738.44,
1143,31222.88,
1144,157390.46,
1145,25615.88,
1146,45278.58,
1147,43239.61,
1148,85266.44,
1149,52706.0,
1150,64967.88,
1151,105683.275,
1152,141487.28,
1153,103389.34,
1154,67339.075,
1155,107292.145,
1156,294396.96,
1157,46417.64,
1158,33705.015,
1159,34438.735,
1160,168521.4,
1161,185130.68,
1162,35130.12,
1163,127203.08,
1164,42036.48,
1165,49061.615,
1166,93313.825,
1167,62866.31,
1168,106773.76,
1169,35983.775,
1170,38980.37,
1171,167643.605,
1172,147881.76,
1173,91886.66,
1174,69314.5,
1175,43031.32,
1176,224706.0,
1177,55918.84,
1178,172872.89,
1179,66478.81,
1180,47713.16647268814,
1181,137112.57,
1182,79983.72,
1183,781927.9,
1184,221458.87333333332,
1185,77926.495,
1186,140670.21,
1187,57612.88,
1188,67577.5,
1189,50102.27401731601,
1190,80289.285,
1191,59031.83,
1192,16040.015,
1193,61888.0,
1194,885900.0,
1195,54400.76,
1196,41444.0,
1197,30407.105,
1198,121704.555,
1200,154524.69,
1201,72464.495,
1202,45916.94363636364,
1203,95836.755,
1204,182965.68,
1205,72868.0,
1206,54766.08,
1207,61912.7,
1209,146310.67838095236,
1210,127300.0,
1211,73440.6,
1212,15814.945,
1213,170572.54,
1214,17918.46,
1215,46994.855,
1216,43437.92,
1217,49439.3,
1218,33675.94,
1219,18489.81,
1220,108745.23,
1221,93875.895,
1222,68350.7,
1223,55817.38,
1224,98836.06,
1225,608767.2,
1226,111791.46,
1227,743560.44,
1228,241067.52,
1229,392234.555,
1230,28653.475,
1231,56878.315,
1232,29056.32,
1233,62640.37,
1234,131474.265,
1235,268625.7,
1236,445989.16,
1237,46755.44,
1238,118501.265,
1239,121646.745,
1240,42415.82,
1241,194761.24,
1242,78618.2,
1243,31282.377777777776,
1244,89017.255,
1246,107436.095,
1247,41637.495,
1248,72633.44,
1249,99723.84,
1250,76991.0,
1251,58589.04,
1252,51493.6,
1253,125225.0,
1254,152667.22,
1255,64668.28,
1256,240386.0,
1257,76887.3,
1258,55461.44,
1259,28291.09,
1260,16374.24,
1261,87358.98,
1262,281629.64,
1263,117421.52,
1264,59060.4,
1265,168180.16,
1266,168577.69,
1267,75507.515,
1268,150843.3,
1269,37920.37,
1270,109060.105,
1271,79408.88,
1272,34822.145,
1273,37314.56,
1274,80568.4,
1275,26962.32,
1276,82264.715,
1277,87324.315,
1278,100888.42,
1279,94842.96,
1280,139385.0,
1281,97007.215,
1282,179427.9,
1283,127194.82,
1284,25052.675,
1285,68568.42,
1286,65159.24,
1287,60920.24,
1288,67794.54,
1289,207137.635,
1290,11651.64,
1291,29893.82,
1292,156459.48,
1293,42690.12,
1294,179799.06,
1295,97217.545,
1296,35746.325,
1297,71819.9,
1298,220987.015,
1299,41496.4,
1300,138467.01,
1301,464465.0,
1302,65314.27,
1303,50031.575,
1304,293322.585,
1305,384668.52,
1306,49608.96,
1307,101469.94,
1308,153483.715,
1309,90491.975,
1310,84656.18,
1311,35697.2,
1312,89588.4,
1313,93347.08,
1314,31826.318571428572,
1315,141393.32,
1316,89506.88,
1317,415122.585,
1318,124802.88,
1319,33583.0,
1320,139071.92,
1321,84182.735,
1322,78564.56,
1323,75618.0,
1324,51781.42,
1325,96665.194,
1326,133362.74,
1327,68005.3,
1328,178017.58,
1329,41122.88,
1330,66282.385,
1331,49308.725,
1332,82680.14,
1333,49736.92,
1334,205827.65,
1335,51290.03,
1336,23941.195,
1337,213800.28655555553,
1338,49213.44,
1339,57380.945,
1340,40995.1,
1341,30140.19,
1342,41295.36,
1343,42004.0,
1344,208730.1,
1345,147061.78,
1346,41855.42,
1347,62453.848,
1348,156860.24,
1349,988000.0,
1350,140776.395,
1351,25146.64,
1352,225291.375,
1353,129415.975,
1354,51117.24,
1355,55721.325,
1356,136709.5,
1357,194457.735,
1358,132534.76,
1359,59108.65,
1360,98322.195,
1361,53818.66,
1362,28949.78,
1363,62283.666,
1364,311123.64,
1365,224201.3308314659,
1366,46916.44,
1367,152752.1567142857,
1368,25930.0,
1369,46201.26,
1370,52180.34,
1371,147525.32,
1372,92339.54,
1373,22574.96,
1374,123073.0,
1375,25411.94,
1376,61605.52,
1377,35403.58,
1378,93890.94,
1379,453515.18,
1380,72547.0,
1381,54960.60523809523,
1383,107020.665,
1384,35201.84,
1385,141416.68,
1386,172138.365,
1387,47010.0,
1388,218687.56,
1389,138997.54,
1390,150324.44,
1391,150836.305,
1392,147624.475,
1393,76319.68,
1394,16651.24,
1395,186821.14,
1396,76910.22,
1397,60092.2,
1398,61554.08,
1399,70907.885,
1400,117829.75,
1401,67880.85,
1402,51088.94,
1403,28245.88,
1404,89736.495,
1405,199938.485,
1406,55640.87,
1407,51631.68,
1408,144740.975,
1409,22492.265,
1410,33964.92,
1411,13107.12,
1412,225505.36,
1413,47721.48,
1414,84426.66,
1415,147313.33,
1416,53240.76,
1417,103918.205,
1418,149346.08,
1419,49561.0,
1420,55621.94,
1421,45100.0,
1422,88842.96,
1423,58622.62,
1424,124789.99,
1425,93489.235,
1426,179916.88,
1427,52300.765,
1428,87638.985,
1429,56463.725,
1430,257628.3325,
1431,76726.195,
1432,98602.0,
1433,985545.28,
1434,181974.315,
1435,90856.48,
1436,105403.445,
1437,93545.93,
1438,86025.675,
1439,79201.57,
1440,50603.36,
1441,66244.0,
1442,76943.44,
1443,49282.27,
1444,77435.015,
1445,76077.2,
1446,156873.96,
1447,55505.7,
1448,90447.74,
1449,65174.45,
1450,62425.0,
1451,138989.46,
1452,48576.38,
1453,80746.60333333333,
1454,98563.515,
1455,157140.68,
1456,40888.365,
1457,121896.3,
1458,159028.31,
1459,45704.5,
1460,285676.4,
1461,539751.6,
1462,91737.0,
1463,92061.16,
1464,42101.06,
1465,86011.05,
1466,91509.735,
1467,34904.94,
1468,29365.0,
1469,35562.44,
1470,68990.96,
1471,130144.355,
1472,93332.3625,
1473,73449.48,
1474,179830.5,
1475,160192.12,
1476,68492.36,
1477,43277.43,
1478,69462.145,
1479,49806.0,
1480,35741.68,
1481,8747.26,
1482,66507.32,
1484,151809.1,
1485,120374.0,
1486,387519.44,
1487,118046.97,
1488,32105.0,
1489,76763.38291666667,
1490,50267.29,
1491,25183.335,
1492,173366.995,
1493,14308.455,
1494,63837.715,
1495,69480.0,
1496,49597.0,
1497,28364.7,
1498,38449.275,
1499,29838.23,
1500,17618.686999999998,
1501,81274.16,
1502,75527.5,
1503,62810.92,
1504,75718.04,
1505,796803.195,
1506,31096.095,
1507,9969.88,
1508,80500.28,
1509,63656.62,
1510,39911.63,
1511,53651.55,
1512,24573.44,
1513,116829.465,
1514,175584.01,
1515,134267.975,
1516,81838.0,
1517,53656.195,
1518,239039.06,
1519,66249.82,
1520,109660.78,
1521,184825.01,
1522,113131.14,
1523,89439.16,
1524,34139.84,
1525,95906.74,
1526,46386.21,
1527,44055.65,
1528,64851.44,
1529,41384.3,
1530,162950.0,
1531,82009.28,
1532,43935.227380952376,
1533,87801.595,
1534,106219.63,
1535,33593.18,
1536,46767.46,
1537,44782.224,
1538,58306.41,
1539,168933.56,
1540,76056.72,
1541,108730.88,
1542,87716.67142857141,
1543,156791.42,
1544,359298.32,
1545,23337.94,
1546,77306.2575,
1547,96171.6,
1548,33202.1,
1549,93783.945,
1550,101912.305,
1551,23481.42,
1552,92828.685,
1553,266143.28,
1554,50053.61970833333,
1555,107959.82,
1556,27538.18666666667,
1557,67594.58,
1558,53912.5,
1559,83081.31,
1560,44251.86,
1561,43752.04,
1562,67669.47,
1563,32507.0,
1564,24666.505,
1565,54530.425,
1566,44047.65,
1567,37318.5,
1568,104667.21,
1569,261940.7792857143,
1570,43663.84,
1571,40880.29,
1572,392615.0,
1573,24629.94,
1574,148582.565,
1575,43586.585,
1576,200294.365,
1577,78652.5,
1578,38981.94,
1579,227453.78,
1580,86757.275,
1581,157886.53,
1582,40339.28,
1583,31892.25,
1584,55388.32,
1585,32478.3,
1586,30720.805,
1587,138943.76,
1588,96362.44,
1589,467031.88,
1590,117130.0,
1591,299795.0,
1592,85156.7098888889,
1593,251515.885,
1594,56816.995,
1595,63030.14,
1596,28500.0,
1597,33077.72,
1598,104300.0,
1599,177191.12,
1600,49002.97,
1601,38610.020833333336,
1602,265783.81,
1603,559117.0,
1604,42298.5,
1605,261845.96,
1606,27160.57,
1607,162292.545,
1608,58287.32,
1609,151036.35,
1610,45585.98,
1611,93700.22,
1612,58767.96,
1613,157710.0,
1614,20092.14,
1615,271815.44,
1616,43269.0,
1617,70775.0,
1618,76804.96,
1619,80586.76,
1620,136354.94,
1621,83470.49,
1622,117786.0,
1623,156810.81,
1624,112647.08,
1625,82510.7,
1626,46807.2,
1627,16427.025,
1628,42712.055,
1629,83858.075,
1630,291654.1,
1631,92508.37,
1632,58430.465,
1633,40343.76,
1634,69322.04,
1635,82324.49,
1636,65698.0,
1637,53095.6,
1638,119938.96,
1639,25081.58,
1642,105248.58,
1643,52254.91,
1644,24273.75423076923,
1645,60240.205,
1646,40505.425,
1647,55144.36666666667,
1648,87262.82333333332,
1649,40213.7,
1650,54590.31,
1651,97208.74,
1652,24776.02,
1653,820450.52,
1654,26228.515,
1655,216256.0,
1656,321765.43,
1657,214645.01,
1658,48518.545,
1659,47279.125,
