make,model,manufactured,type_of_vehicle,transmission,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price,reg_year,almost new car,coe car,consignment car,direct owner sale,electric cars,hybrid cars,imported used vehicle,low mileage car,opc car,parf car,premium ad car,rare & exotic,sgcarmart warranty cars,sta evaluated car,vintage cars
23,257,2015.0,4,0,129.0,2356.0,2.0,20010.0,57501,1630.0,25993.0,70000.0,28300.0,31620.0,45800.0,2015,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
23,652,2008.0,4,0,103.0,1799.0,1.0,12860.0,31553,1467.0,13442.0,115000.0,17446.0,6947.0,54800.0,2008,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
73,147,2017.0,2,0,206.0,1984.0,1.0,22110.0,53711,1194.0,54192.0,63161.0,44874.0,54824.0,103800.0,2017,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
40,36,2017.0,3,0,88.0,1496.0,1.0,15130.0,48401,682.0,21745.0,102151.0,19672.0,14672.0,47800.0,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,220,2022.0,6,0,404.0,3996.0,1.0,116950.0,107889,3944.0,485041.0,1702.0,268927.0,531640.0,1288888.0,2023,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
5,62,2016.0,2,0,185.0,1998.0,3.0,26250.0,56206,1210.0,48636.0,63000.0,47372.0,58321.0,92888.0,2016,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
42,269,2008.0,2,0,150.0,2497.0,2.0,10510.0,31553,2694.0,14350.0,185000.0,55328.0,55328.0,47800.0,2009,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
23,228,2016.0,8,0,140.0,2354.0,3.0,15870.0,46502,1628.0,27206.0,86000.0,30143.0,34201.0,45800.0,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,362,2019.0,8,0,155.0,1991.0,1.0,24340.0,41805,1202.0,63175.0,105000.0,43770.0,53278.0,161800.0,2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,616,2018.0,7,0,97.0,1496.0,2.0,14240.0,26301,682.0,19110.0,47000.0,19924.0,9924.0,70800.0,2019,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
42,143,2022.0,8,0,243.0,2925.0,1.0,44570.0,108006,3268.0,194953.0,52000.0,89365.0,136603.0,450000.0,2023,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5,21,2018.0,4,0,75.0,1499.0,3.0,13980.0,38001,684.0,39297.0,163888.0,32789.0,37905.0,72888.0,2018,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
23,205,2018.0,3,0,88.0,1497.0,2.0,13020.0,38389,684.0,25705.0,95000.0,17233.0,17233.0,57800.0,2018,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
67,131,2011.0,9,0,19.0,1998.0,3.0,9570.0,39522,1815.0,28293.0,106000.0,16282.0,16282.0,68500.0,2011,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
27,239,2012.0,9,1,19.0,15681.0,1.0,25730.0,26442,22286.0,16155.0,116073.0,102219.0,5111.0,78600.0,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,543,2019.0,8,0,85.0,999.0,1.0,16260.0,26659,392.0,31345.0,90000.0,24924.0,26894.0,89800.0,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,692,2015.0,1,0,90.0,1498.0,3.0,14230.0,56989,684.0,18889.0,113000.0,22664.0,18730.0,30800.0,2015,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
45,149,2016.0,8,0,110.0,1998.0,1.0,14090.0,55501,1210.0,24532.0,125154.0,19041.0,19041.0,42800.0,2016,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
48,186,2016.0,9,1,19.0,2953.0,1.0,10570.0,42809,3495.0,13159.0,120381.0,26468.0,1324.0,32500.0,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,368,2015.0,1,0,92.0,1395.0,2.0,15830.0,53000,624.0,17656.0,109000.0,20513.0,10719.0,38888.0,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,616,2018.0,7,0,101.0,1496.0,2.0,14890.0,38700,682.0,18094.0,65000.0,20960.0,5000.0,59600.0,2018,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
71,383,2008.0,8,0,118.0,2362.0,5.0,11920.0,37941,2457.0,20010.0,130650.0,27778.0,27778.0,62888.0,2009,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
31,201,2014.0,3,0,95.0,1591.0,2.0,11850.0,39241,738.0,38273.0,112000.0,13767.0,8767.0,57800.0,2014,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
29,392,2021.0,8,0,294.0,1911.0,1.0,24030.0,82501,4086.0,122194.0,33000.0,79889.0,80801.0,219800.0,2022,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
71,294,2008.0,4,0,125.0,2362.0,4.0,12910.0,50578,2457.0,17973.0,170000.0,28187.0,28187.0,45888.0,2008,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
25,155,2009.0,3,0,89.0,1591.0,5.0,9910.0,25727,1107.0,11475.0,140000.0,11635.0,336.0,44188.0,2009,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
48,551,2017.0,8,0,85.0,1197.0,1.0,14340.0,50789,508.0,22315.0,81368.0,18583.0,13583.0,46800.0,2017,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
44,221,2011.0,1,0,88.0,1598.0,2.0,14850.0,27020,965.0,13754.0,110116.0,25966.0,25966.0,37800.0,2012,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
71,384,2012.0,0,0,0.0,2982.0,3.0,13730.0,26276,3003.0,15996.0,170963.0,54645.0,2733.0,41800.0,2012,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
25,155,2009.0,3,0,89.0,1591.0,4.0,10010.0,26175,1107.0,12765.0,199661.0,11216.0,11216.0,48800.0,2009,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
43,304,1995.0,6,0,245.0,1796.0,6.0,11050.0,32279,1461.0,14141.0,91000.0,30259.0,42363.0,48400.0,1998,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
35,579,2023.0,8,0,184.0,2487.0,1.0,34670.0,150001,1784.0,180001.0,8000.0,73915.0,120788.0,377800.0,2023,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
40,12,2016.0,2,0,141.0,2488.0,3.0,12510.0,49700,1786.0,26306.0,109062.0,27853.0,30995.0,38800.0,2016,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
73,368,2018.0,1,0,92.0,1395.0,2.0,15870.0,27000,624.0,31987.0,44000.0,24707.0,26590.0,91888.0,2019,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
31,651,2020.0,8,0,88.0,998.0,1.0,14170.0,38504,392.0,30766.0,34296.0,19037.0,9037.0,92800.0,2020,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
40,36,2019.0,3,0,88.0,1496.0,1.0,15330.0,37690,682.0,34489.0,72000.0,26036.0,13451.0,105988.0,2021,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
61,446,2017.0,7,0,85.0,999.0,1.0,12750.0,28199,392.0,32338.0,94000.0,25933.0,28307.0,70800.0,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,544,2021.0,8,0,110.0,1395.0,1.0,19940.0,47001,624.0,54458.0,42000.0,27557.0,30580.0,148999.0,2021,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
25,394,2018.0,1,0,103.0,1353.0,1.0,15770.0,36961,600.0,30191.0,57500.0,18103.0,18103.0,83800.0,2019,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
48,511,2019.0,10,1,12.0,2488.0,1.0,11060.0,25001,1786.0,14014.0,113094.0,25565.0,1279.0,61988.0,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,727,2019.0,8,0,135.0,1998.0,2.0,27800.0,40001,1210.0,64457.0,118753.0,47396.0,58355.0,173000.0,2019,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
48,505,2021.0,1,0,85.0,1198.0,2.0,13970.0,60761,714.0,51509.0,24467.0,21061.0,6486.0,110500.0,2022,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
71,578,2008.0,8,0,80.0,1495.0,4.0,11600.0,32339,1023.0,13609.0,188167.0,15281.0,15281.0,48800.0,2008,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
25,279,2017.0,3,0,93.0,1591.0,2.0,15980.0,41761,738.0,21893.0,123000.0,11960.0,11960.0,60000.0,2017,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
44,221,2015.0,1,0,100.0,1499.0,2.0,19110.0,46970,684.0,21766.0,98200.0,27192.0,25069.0,45000.0,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,292,2015.0,2,0,135.0,2494.0,1.0,18320.0,62140,1792.0,32758.0,87337.0,39966.0,47953.0,42800.0,2015,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
42,361,2018.0,8,0,135.0,1991.0,2.0,23440.0,31001,1202.0,49741.0,123000.0,42569.0,51597.0,128800.0,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,525,2017.0,10,0,12.0,1560.0,2.0,8430.0,30280,1278.0,12145.0,52145.0,20290.0,1015.0,33800.0,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,705,2017.0,8,0,112.0,1496.0,2.0,14870.0,50001,682.0,18483.0,76000.0,25340.0,5000.0,47800.0,2017,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
23,206,2007.0,3,0,92.0,1595.0,6.0,16910.0,42698,1110.0,15137.0,136000.0,18919.0,20811.0,60000.0,2008,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
23,321,2018.0,1,0,101.0,1496.0,2.0,13350.0,31001,682.0,18404.0,49001.0,19759.0,9759.0,56800.0,2018,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
42,143,2013.0,2,0,115.0,1595.0,5.0,11830.0,99617,814.0,79694.0,119000.0,29909.0,23873.0,109800.0,2013,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
5,60,2017.0,2,0,135.0,1998.0,2.0,21170.0,47501,1210.0,40507.0,105000.0,40838.0,44174.0,84500.0,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,177,2008.0,2,0,115.0,1796.0,5.0,11380.0,31335,1461.0,14260.0,165000.0,37067.0,37067.0,51800.0,2009,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4,220,2013.0,6,0,373.0,3993.0,5.0,28640.0,45586,4334.0,30212.0,108000.0,172046.0,281683.0,189800.0,2013,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
73,526,2016.0,2,0,132.0,1798.0,1.0,14400.0,50089,976.0,25150.0,107529.0,31415.0,30981.0,38800.0,2016,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,559,2011.0,6,0,316.0,4163.0,6.0,30160.0,53932,5888.0,36836.0,97849.0,147728.0,147728.0,206000.0,2011,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,114,2016.0,1,0,70.0,999.0,5.0,15850.0,48556,392.0,17925.0,82308.0,21256.0,6759.0,48800.0,2017,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11,262,2022.0,10,0,12.0,1840.0,1.0,11920.0,23143,1026.0,22217.0,111462.0,47243.0,2363.0,114500.0,2024,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,705,2017.0,8,0,112.0,1496.0,1.0,14750.0,53001,682.0,18276.0,94000.0,26381.0,5000.0,45000.0,2017,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
3,546,2019.0,8,0,185.0,1984.0,1.0,22720.0,35889,1194.0,61850.0,61000.0,43839.0,53375.0,164800.0,2020,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
71,139,2019.0,4,0,134.0,2493.0,2.0,26730.0,41001,1792.0,62153.0,54000.0,40098.0,48138.0,193888.0,2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,368,2015.0,1,0,90.0,1395.0,2.0,11950.0,56001,624.0,12171.0,64760.0,19158.0,9158.0,19800.0,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,127,2018.0,3,0,73.0,1368.0,3.0,12370.0,41400,608.0,19845.0,109167.0,7828.0,7828.0,48000.0,2018,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
54,462,2014.0,8,0,250.0,2997.0,4.0,48410.0,77600,2382.0,57470.0,116000.0,71450.0,100610.0,95000.0,2015,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25,348,2008.0,1,1,48.0,1086.0,1.0,9090.0,30284,663.0,13267.0,130000.0,7890.0,7890.0,39800.0,2008,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
70,479,2021.0,2,0,377.0,2135.0,1.0,16090.0,62600,5384.0,88663.0,87000.0,73264.0,58876.0,143800.0,2021,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
71,383,2021.0,8,0,160.0,2487.0,2.0,25680.0,61001,1784.0,68692.0,60000.0,40927.0,34298.0,198000.0,2021,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
74,601,2013.0,2,0,84.0,1560.0,2.0,9230.0,79237,1278.0,77240.0,135104.0,32318.0,22246.0,89998.0,2014,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
54,195,2015.0,8,0,220.0,3598.0,3.0,40090.0,59889,3322.0,76913.0,146053.0,83334.0,122002.0,126688.0,2016,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
52,525,2016.0,10,0,12.0,1560.0,1.0,8130.0,28489,1278.0,8687.0,61979.0,19591.0,980.0,24800.0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,248,2015.0,8,0,177.0,1999.0,2.0,20800.0,60001,1212.0,56032.0,49973.0,63835.0,86903.0,71998.0,2015,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
74,601,2017.0,2,0,140.0,1969.0,2.0,14500.0,48001,1764.0,29342.0,113000.0,28059.0,21283.0,58000.0,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,296,2021.0,10,0,12.0,658.0,1.0,9200.0,29426,326.0,22654.0,14000.0,15309.0,766.0,70800.0,2022,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
45,153,2021.0,3,0,59.0,1193.0,1.0,11910.0,41001,506.0,33113.0,19498.0,14397.0,5000.0,87800.0,2021,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
45,437,2008.0,3,0,80.0,1499.0,1.0,12680.0,27571,1026.0,12154.0,123928.0,18193.0,18193.0,55888.0,2008,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
68,328,2016.0,8,0,177.0,1998.0,2.0,14990.0,48209,1210.0,24143.0,99000.0,19237.0,19237.0,48800.0,2017,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
69,636,2023.0,10,0,12.0,658.0,1.0,8830.0,59950,326.0,58965.0,500.0,15101.0,756.0,86800.0,2024,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,257,2024.0,4,0,242.0,1993.0,1.0,21780.0,102334,1204.0,112080.0,45.0,38060.0,40284.0,236988.0,2024,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
23,492,2022.0,10,0,12.0,658.0,2.0,8620.0,31569,326.0,24364.0,33000.0,18213.0,911.0,66500.0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,12,2019.0,8,0,121.0,1998.0,1.0,16650.0,39889,1210.0,45230.0,100773.0,29591.0,33428.0,102000.0,2019,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
42,207,2016.0,7,0,90.0,1595.0,2.0,16510.0,53000,740.0,27283.0,112638.0,31065.0,30491.0,48000.0,2016,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
71,384,2016.0,10,1,0.0,2982.0,3.0,15500.0,5591,3003.0,1147.0,49409.0,29761.0,1489.0,31800.0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,404,2008.0,1,0,184.0,1994.0,6.0,16070.0,31553,1809.0,14333.0,113492.0,25958.0,25958.0,73000.0,2008,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5,725,2011.0,8,0,225.0,2979.0,5.0,17720.0,53932,3071.0,38004.0,140000.0,60060.0,60060.0,124888.0,2011,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
74,692,2018.0,1,0,140.0,1969.0,1.0,15180.0,39889,1176.0,38703.0,65404.0,22799.0,23919.0,91000.0,2019,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
23,206,2008.0,3,0,103.0,1799.0,6.0,13670.0,32121,1467.0,13605.0,136087.0,24242.0,24242.0,57888.0,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,355,2017.0,8,0,90.0,1595.0,2.0,18470.0,41400,740.0,35452.0,73000.0,28082.0,31315.0,83000.0,2018,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
71,383,2016.0,8,0,111.0,1986.0,2.0,17190.0,47604,1196.0,23697.0,94448.0,28882.0,27435.0,44800.0,2016,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
42,117,2018.0,1,0,120.0,1332.0,2.0,19950.0,31101,586.0,39890.0,58400.0,32046.0,36865.0,108800.0,2019,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
42,266,2006.0,2,0,120.0,1796.0,2.0,11400.0,52491,1461.0,15100.0,146208.0,57169.0,40019.0,32800.0,2007,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
42,204,2015.0,10,1,12.0,1461.0,2.0,10630.0,46801,1048.0,5193.0,37033.0,24963.0,1249.0,11800.0,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,237,2021.0,8,0,85.0,1496.0,1.0,16040.0,48002,682.0,47949.0,58000.0,19638.0,19638.0,120800.0,2021,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3,119,2016.0,2,0,92.0,1395.0,1.0,15180.0,47889,624.0,17773.0,57236.0,25118.0,17166.0,35000.0,2016,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
42,177,2016.0,2,0,115.0,1595.0,4.0,19710.0,55001,740.0,30742.0,78000.0,35589.0,36825.0,56000.0,2016,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
31,611,2020.0,8,0,103.0,1353.0,1.0,15660.0,47506,600.0,47120.0,35000.0,21202.0,21683.0,115888.0,2021,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
74,604,2019.0,2,0,187.0,1969.0,3.0,20770.0,47001,1176.0,65559.0,45000.0,38681.0,46154.0,159800.0,2021,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
23,415,2007.0,1,0,60.0,1339.0,1.0,11640.0,42564,885.0,13457.0,134000.0,14400.0,15840.0,36800.0,2007,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
3,119,2021.0,1,0,110.0,1498.0,1.0,17670.0,63002,684.0,53895.0,22000.0,27268.0,15176.0,126800.0,2021,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
23,257,2015.0,4,0,129.0,2356.0,2.0,17940.0,60001,1630.0,24568.0,127000.0,28590.0,32026.0,36800.0,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,114,2020.0,1,0,85.0,999.0,1.0,15070.0,57010,392.0,61952.0,16000.0,23987.0,25582.0,125800.0,2021,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
5,21,2021.0,1,0,80.0,1499.0,2.0,15390.0,47821,684.0,60333.0,75813.0,31169.0,35637.0,125998.0,2021,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5,457,2010.0,6,0,309.0,3999.0,5.0,19590.0,45586,5527.0,30212.0,150000.0,85932.0,85932.0,129800.0,2011,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
48,186,2017.0,9,1,19.0,2953.0,1.0,11820.0,46890,3495.0,16585.0,59215.0,27176.0,1359.0,41800.0,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,206,2019.0,3,0,92.0,1597.0,2.0,15980.0,31917,742.0,31200.0,82000.0,20072.0,20101.0,90800.0,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,75,2010.0,2,0,150.0,2497.0,6.0,14510.0,37502,2694.0,19594.0,177000.0,37893.0,37893.0,75800.0,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,368,2010.0,6,0,155.0,1984.0,4.0,16310.0,40714,1552.0,26659.0,39217.0,33242.0,33242.0,106800.0,2011,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
23,331,2019.0,4,0,101.0,1496.0,1.0,16990.0,38602,682.0,34524.0,37983.0,27173.0,20043.0,95800.0,2019,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
40,36,2017.0,3,0,88.0,1496.0,2.0,12070.0,42900,682.0,24477.0,157940.0,15108.0,15108.0,48800.0,2018,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
11,182,2017.0,8,0,81.0,1199.0,2.0,12520.0,38200,508.0,16751.0,146146.0,18278.0,5000.0,46800.0,2017,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
42,266,1999.0,2,0,135.0,1998.0,5.0,10320.0,39463,1815.0,22175.0,175500.0,51347.0,71886.0,58000.0,2000,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
71,716,2017.0,4,0,105.0,1798.0,4.0,17290.0,38801,976.0,27970.0,86148.0,19955.0,19955.0,76800.0,2018,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
26,548,2017.0,6,0,155.0,1991.0,2.0,20450.0,55000,1202.0,46292.0,99000.0,38231.0,45524.0,84888.0,2017,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
23,321,2018.0,1,0,73.0,1317.0,1.0,13160.0,38001,578.0,19327.0,83699.0,17390.0,7390.0,53999.0,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,692,2017.0,1,0,140.0,1969.0,1.0,15450.0,42661,1176.0,33597.0,100898.0,26078.0,28510.0,68822.0,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,722,2019.0,8,0,103.0,1499.0,1.0,17970.0,34000,684.0,48876.0,73000.0,35726.0,42017.0,112800.0,2019,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5,28,2015.0,6,0,180.0,1997.0,2.0,24830.0,59889,1210.0,38528.0,120000.0,45011.0,55016.0,61800.0,2016,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
42,589,2019.0,2,0,200.0,2996.0,1.0,34320.0,39401,2382.0,116557.0,95791.0,92820.0,139076.0,236800.0,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
