model,mileage,low mileage car,manufactured,reg_year,type_of_vehicle,dereg_value,depreciation,power,coe,arf,omv,price,road_tax,almost new car,coe car,parf car
384,113758.0,0,2012.0,2012,0,15996.0,13730.0,0.0,26276,2733.0,54645.0,41800.0,3004.0,0,1,0
155,199661.0,0,2009.0,2009,3,12765.0,10010.0,89.0,26175,11216.0,11216.0,48800.0,1107.0,0,1,0
304,91000.0,1,1995.0,1998,6,14141.0,11050.0,245.0,32279,42363.0,30259.0,48400.0,1461.0,0,1,0
579,8000.0,1,2023.0,2023,8,180001.0,34670.0,184.0,150001,120788.0,73915.0,377800.0,1784.0,1,0,1
12,109062.0,0,2016.0,2016,2,26306.0,12510.0,141.0,49700,30995.0,27853.0,38800.0,1786.0,0,0,1
368,44000.0,1,2018.0,2019,1,31987.0,15870.0,92.0,27000,26590.0,24707.0,91888.0,624.0,0,0,1
651,34296.0,1,2020.0,2020,8,30766.0,14170.0,88.0,38504,9037.0,19037.0,92800.0,392.0,0,0,1
36,72000.0,0,2019.0,2021,3,34489.0,15330.0,88.0,37690,13451.0,26036.0,105988.0,682.0,0,0,1
446,94000.0,0,2017.0,2018,7,32338.0,12750.0,85.0,28199,28307.0,25933.0,70800.0,392.0,0,0,1
544,42000.0,0,2021.0,2021,8,54458.0,19940.0,110.0,47001,30580.0,27557.0,148999.0,624.0,0,0,1
394,57500.0,0,2018.0,2019,1,30191.0,15770.0,103.0,36961,18103.0,18103.0,83800.0,600.0,0,0,1
511,57710.0,0,2019.0,2020,10,14014.0,11060.0,12.0,25001,1279.0,25565.0,61988.0,1786.0,0,0,0
727,71165.0,0,2019.0,2019,8,64457.0,27800.0,135.0,40001,58355.0,47396.0,173000.0,1210.0,0,0,1
505,24467.0,0,2021.0,2022,1,51509.0,13970.0,85.0,60761,6486.0,21061.0,110500.0,714.0,0,0,1
578,145949.0,0,2008.0,2008,8,13609.0,11600.0,80.0,32339,15281.0,15281.0,48800.0,1023.0,0,1,0
279,123000.0,0,2017.0,2017,3,21893.0,15980.0,93.0,41761,11960.0,11960.0,60000.0,738.0,0,0,1
221,98200.0,0,2015.0,2016,1,21766.0,19110.0,100.0,46970,25069.0,27192.0,45000.0,684.0,0,0,1
292,87337.0,1,2015.0,2015,2,32758.0,18320.0,135.0,62140,47953.0,39966.0,42800.0,1792.0,0,0,1
361,123000.0,0,2018.0,2019,8,49741.0,23440.0,135.0,31001,51597.0,42569.0,128800.0,1202.0,0,0,1
525,85292.0,0,2017.0,2018,10,12145.0,8430.0,12.0,30280,1015.0,20290.0,33800.0,1278.0,0,0,0
705,76000.0,0,2017.0,2017,8,18483.0,14870.0,112.0,50001,5000.0,25340.0,47800.0,682.0,0,0,1
206,136000.0,1,2007.0,2008,3,15137.0,16910.0,92.0,42698,20811.0,18919.0,60000.0,1110.0,0,1,0
321,85292.0,0,2018.0,2018,1,18404.0,13350.0,101.0,31001,9759.0,19759.0,56800.0,682.0,0,0,1
143,119000.0,0,2013.0,2013,2,79694.0,11830.0,115.0,99617,23873.0,29909.0,109800.0,814.0,0,1,0
60,105000.0,0,2017.0,2017,2,40507.0,21170.0,135.0,47501,44174.0,40838.0,84500.0,1210.0,0,0,1
177,165000.0,0,2008.0,2009,2,14260.0,11380.0,115.0,31335,37067.0,37067.0,51800.0,1461.0,0,1,0
220,108000.0,0,2013.0,2013,6,30212.0,28640.0,373.0,45586,281683.0,172046.0,189800.0,4334.0,0,1,0
526,107529.0,0,2016.0,2016,2,25150.0,14400.0,132.0,50089,30981.0,31415.0,38800.0,976.0,0,0,1
559,131067.0,0,2011.0,2011,6,36836.0,30160.0,316.0,53932,147728.0,147728.0,206000.0,5888.0,0,1,0
114,82308.0,0,2016.0,2017,1,17925.0,15850.0,70.0,48556,6759.0,21256.0,48800.0,392.0,0,0,1
262,2399.0,0,2022.0,2024,10,22217.0,11920.0,12.0,23143,2363.0,47243.0,114500.0,1272.0,1,0,0
705,94000.0,0,2017.0,2017,8,18276.0,14750.0,112.0,53001,5000.0,26381.0,45000.0,682.0,0,0,1
546,61000.0,0,2019.0,2020,8,61850.0,22720.0,185.0,35889,53375.0,43839.0,164800.0,1194.0,0,0,1
139,54000.0,0,2019.0,2020,4,62153.0,26730.0,134.0,41001,48138.0,40098.0,193888.0,1792.0,0,0,1
368,114824.0,0,2015.0,2015,1,12171.0,11950.0,90.0,56001,9158.0,19158.0,19800.0,624.0,0,0,1
127,85292.0,0,2018.0,2018,3,19845.0,12370.0,73.0,41400,7828.0,7828.0,48000.0,608.0,0,0,1
462,116000.0,0,2014.0,2015,8,57470.0,48410.0,250.0,77600,100610.0,71450.0,95000.0,2382.0,0,0,1
348,130000.0,1,2008.0,2008,1,13267.0,9090.0,48.0,30284,7890.0,7890.0,39800.0,663.0,0,1,0
479,87000.0,0,2021.0,2021,2,88663.0,16090.0,377.0,62600,58876.0,73264.0,143800.0,5384.0,0,0,1
383,60000.0,0,2021.0,2021,8,68692.0,25680.0,160.0,61001,34298.0,40927.0,198000.0,1784.0,0,0,1
601,135104.0,0,2013.0,2014,2,77240.0,9230.0,84.0,79237,22246.0,32318.0,89998.0,1278.0,0,1,0
195,146053.0,0,2015.0,2016,8,76913.0,40090.0,220.0,59889,122002.0,83334.0,126688.0,3322.0,0,0,1
525,96561.0,0,2016.0,2017,10,8687.0,8130.0,12.0,28489,980.0,19591.0,24800.0,1278.0,0,0,0
248,49973.0,1,2015.0,2015,8,56032.0,20800.0,177.0,60001,86903.0,63835.0,71998.0,1212.0,0,0,1
601,113000.0,0,2017.0,2017,2,29342.0,14500.0,140.0,48001,21283.0,28059.0,58000.0,1764.0,0,0,1
296,14000.0,1,2021.0,2022,10,22654.0,9200.0,12.0,29426,766.0,15309.0,70800.0,326.0,0,0,0
153,19498.0,1,2021.0,2021,3,33113.0,11910.0,59.0,41001,5000.0,14397.0,87800.0,506.0,0,0,1
437,123928.0,1,2008.0,2008,3,12154.0,12680.0,80.0,27571,18193.0,18193.0,55888.0,1026.0,0,1,0
328,99000.0,0,2016.0,2017,8,24143.0,14990.0,177.0,48209,19237.0,19237.0,48800.0,1210.0,0,0,1
636,500.0,1,2023.0,2024,10,58965.0,8830.0,12.0,59950,756.0,15101.0,86800.0,326.0,1,0,0
257,45.0,1,2024.0,2024,4,112080.0,21780.0,242.0,102334,40284.0,38060.0,236988.0,1204.0,1,0,1
492,33000.0,0,2022.0,2022,10,24364.0,8620.0,12.0,31569,911.0,18213.0,66500.0,326.0,0,0,0
12,100773.0,0,2019.0,2019,8,45230.0,16650.0,121.0,39889,33428.0,29591.0,102000.0,1210.0,0,0,1
207,112638.0,0,2016.0,2016,7,27283.0,16510.0,90.0,53000,30491.0,31065.0,48000.0,740.0,0,0,1
384,106591.0,0,2016.0,2016,10,1147.0,15500.0,0.0,5591,1489.0,29761.0,31800.0,3004.0,0,0,0
404,145949.0,0,2008.0,2008,1,14333.0,16070.0,184.0,31553,25958.0,25958.0,73000.0,1809.0,0,1,0
725,140000.0,0,2011.0,2011,8,38004.0,17720.0,225.0,53932,60060.0,60060.0,124888.0,3071.0,0,1,0
692,65404.0,0,2018.0,2019,1,38703.0,15180.0,140.0,39889,23919.0,22799.0,91000.0,1176.0,0,0,1
206,145949.0,0,2008.0,2008,3,13605.0,13670.0,103.0,32121,24242.0,24242.0,57888.0,1467.0,0,1,0
355,73000.0,0,2017.0,2018,8,35452.0,18470.0,90.0,41400,31315.0,28082.0,83000.0,740.0,0,0,1
383,94448.0,0,2016.0,2016,8,23697.0,17190.0,111.0,47604,27435.0,28882.0,44800.0,1196.0,0,0,1
117,58400.0,0,2018.0,2019,1,39890.0,19950.0,120.0,31101,36865.0,32046.0,108800.0,586.0,0,0,1
266,146208.0,1,2006.0,2007,2,15100.0,11400.0,120.0,52491,40019.0,57169.0,32800.0,1461.0,0,1,0
204,114824.0,0,2015.0,2015,10,5193.0,10630.0,12.0,46801,1249.0,24963.0,11800.0,1048.0,0,0,0
237,58000.0,0,2021.0,2021,8,47949.0,16040.0,85.0,48002,19638.0,19638.0,120800.0,682.0,0,0,1
119,57236.0,1,2016.0,2016,2,17773.0,15180.0,92.0,47889,17166.0,25118.0,35000.0,624.0,0,0,1
177,78000.0,1,2016.0,2016,2,30742.0,19710.0,115.0,55001,36825.0,35589.0,56000.0,740.0,0,0,1
611,35000.0,0,2020.0,2021,8,47120.0,15660.0,103.0,47506,21683.0,21202.0,115888.0,600.0,0,0,1
604,45000.0,0,2019.0,2021,2,65559.0,20770.0,187.0,47001,46154.0,38681.0,159800.0,1176.0,0,0,1
415,134000.0,1,2007.0,2007,1,13457.0,11640.0,60.0,42564,15840.0,14400.0,36800.0,885.0,0,1,0
119,22000.0,1,2021.0,2021,1,53895.0,17670.0,110.0,63002,15176.0,27268.0,126800.0,684.0,0,0,1
257,127000.0,0,2015.0,2015,4,24568.0,17940.0,129.0,60001,32026.0,28590.0,36800.0,1630.0,0,0,1
114,16000.0,1,2020.0,2021,1,61952.0,15070.0,85.0,57010,25582.0,23987.0,125800.0,392.0,0,0,1
21,75813.0,0,2021.0,2021,1,60333.0,15390.0,80.0,47821,35637.0,31169.0,125998.0,684.0,0,0,1
457,150000.0,0,2010.0,2011,6,30212.0,19590.0,309.0,45586,85932.0,85932.0,129800.0,5527.0,0,1,0
186,96561.0,0,2017.0,2017,9,16585.0,11820.0,19.0,46890,1359.0,27176.0,41800.0,3495.0,0,0,0
206,82000.0,0,2019.0,2019,3,31200.0,15980.0,92.0,31917,20101.0,20072.0,90800.0,742.0,0,0,1
75,177000.0,0,2010.0,2010,2,19594.0,14510.0,150.0,37502,37893.0,37893.0,75800.0,2694.0,0,1,0
368,131067.0,0,2010.0,2011,6,26659.0,16310.0,155.0,40714,33242.0,33242.0,106800.0,1552.0,0,1,0
331,37983.0,1,2019.0,2019,4,34524.0,16990.0,101.0,38602,20043.0,27173.0,95800.0,682.0,0,0,1
36,85292.0,0,2017.0,2018,3,24477.0,12070.0,88.0,42900,15108.0,15108.0,48800.0,682.0,0,0,1
182,146146.0,0,2017.0,2017,8,16751.0,12520.0,81.0,38200,5000.0,18278.0,46800.0,508.0,0,0,1
266,175500.0,1,1999.0,2000,2,22175.0,10320.0,135.0,39463,71886.0,51347.0,58000.0,1815.0,0,1,0
716,86148.0,0,2017.0,2018,4,27970.0,17290.0,105.0,38801,19955.0,19955.0,76800.0,976.0,0,0,1
548,99000.0,0,2017.0,2017,6,46292.0,20450.0,155.0,55000,45524.0,38231.0,84888.0,1202.0,0,0,1
321,83699.0,0,2018.0,2018,1,19327.0,13160.0,73.0,38001,7390.0,17390.0,53999.0,578.0,0,0,1
692,100898.0,0,2017.0,2018,1,33597.0,15450.0,140.0,42661,28510.0,26078.0,68822.0,1176.0,0,0,1
722,73000.0,0,2019.0,2019,8,48876.0,17970.0,103.0,34000,42017.0,35726.0,112800.0,684.0,0,0,1
28,120000.0,0,2015.0,2016,6,38528.0,24830.0,180.0,59889,55016.0,45011.0,61800.0,1210.0,0,0,1
589,71165.0,0,2019.0,2019,2,116557.0,34320.0,200.0,39401,139076.0,92820.0,236800.0,2382.0,0,0,1
124,113758.0,0,2011.0,2012,7,29874.0,15870.0,132.0,45586,48190.0,48190.0,104000.0,1552.0,0,1,0
292,101000.0,0,2019.0,2019,2,57302.0,23250.0,152.0,48010,47999.0,39999.0,138800.0,1784.0,0,0,1
701,27372.0,0,2020.0,2022,4,76685.0,28760.0,145.0,95856,46145.0,38675.0,238800.0,1792.0,0,1,0
383,119822.0,0,2015.0,2016,8,22943.0,16550.0,111.0,47000,27831.0,29165.0,40800.0,1196.0,0,0,1
176,57000.0,0,2020.0,2020,2,49530.0,19470.0,95.0,32699,39845.0,34175.0,136888.0,684.0,0,0,1
221,65000.0,1,2017.0,2017,6,33745.0,22780.0,141.0,54501,29912.0,30651.0,81000.0,1210.0,0,0,1
652,154000.0,0,2008.0,2009,4,19812.0,11480.0,103.0,37941,26813.0,26813.0,59988.0,1467.0,0,1,0
705,120000.0,0,2016.0,2016,8,18518.0,15400.0,96.0,47020,13516.0,22511.0,40888.0,682.0,0,0,1
456,650.0,1,2020.0,2023,6,159034.0,34120.0,302.0,118001,68332.0,50701.0,345800.0,2362.0,1,0,1
321,30144.0,0,2019.0,2022,1,59877.0,13160.0,73.0,71556,5000.0,15689.0,105800.0,578.0,0,0,1
504,65488.0,0,2019.0,2019,4,40106.0,23160.0,100.0,39889,29192.0,33708.0,128800.0,974.0,0,0,1
97,137000.0,0,2016.0,2016,2,71965.0,27810.0,190.0,58201,98468.0,70260.0,110800.0,1210.0,0,0,1
383,78643.0,0,2018.0,2019,8,42834.0,18620.0,170.0,39401,35129.0,30806.0,103800.0,1210.0,0,0,1
457,103000.0,1,2010.0,2011,6,38004.0,21540.0,309.0,53932,84556.0,84556.0,151800.0,5132.0,0,1,0
221,106591.0,0,2016.0,2016,6,29518.0,22540.0,141.0,49700,36392.0,31708.0,61800.0,1210.0,0,0,1
518,87000.0,0,2017.0,2017,4,27088.0,13400.0,103.0,52751,15704.0,15704.0,50800.0,604.0,0,0,1
177,98947.0,0,2012.0,2013,2,43706.0,12040.0,115.0,56670,25160.0,30160.0,92888.0,888.0,0,1,0
504,85292.0,0,2018.0,2018,4,31662.0,24730.0,100.0,32551,26096.0,31497.0,114800.0,974.0,0,0,1
12,36000.0,0,2021.0,2022,8,74230.0,16830.0,121.0,77700,22224.0,21588.0,135800.0,1210.0,0,0,1
705,96561.0,0,2016.0,2017,8,20341.0,16270.0,96.0,49430,11624.0,21160.0,49800.0,682.0,0,0,1
186,114824.0,0,2015.0,2015,9,5206.0,15180.0,19.0,50002,1255.0,25089.0,15800.0,3495.0,0,0,0
71,10000.0,1,2023.0,2023,8,106882.0,16700.0,96.0,97000,39043.0,33602.0,168800.0,508.0,0,0,1
88,145949.0,0,2008.0,2008,6,13968.0,13730.0,200.0,34991,91730.0,91730.0,54800.0,3573.0,0,1,0
539,135800.0,0,2015.0,2015,4,33099.0,20390.0,125.0,61103,43926.0,37090.0,51800.0,1638.0,0,0,1
551,86900.0,0,2016.0,2016,8,25481.0,12680.0,106.0,56206,19653.0,19653.0,40700.0,1210.0,0,0,1
177,89000.0,1,2011.0,2011,2,31889.0,12780.0,115.0,45272,31019.0,31019.0,90000.0,965.0,0,1,0
190,106591.0,0,2015.0,2016,9,7171.0,13980.0,19.0,46001,1271.0,25418.0,21800.0,2384.0,0,0,0
62,11700.0,0,2022.0,2023,2,167911.0,26050.0,180.0,134889,95665.0,63866.0,282800.0,1210.0,1,0,1
722,48000.0,1,2018.0,2018,8,41636.0,18970.0,103.0,30959,39669.0,34049.0,104800.0,684.0,0,0,1
177,125000.0,0,2012.0,2013,2,68676.0,12560.0,115.0,85845,30059.0,35059.0,108800.0,888.0,0,1,0
748,49000.0,0,2021.0,2021,8,43944.0,15610.0,82.0,45001,16016.0,27868.0,118800.0,680.0,0,0,1
266,57000.0,1,2016.0,2016,2,55605.0,25620.0,135.0,55501,70880.0,54933.0,95800.0,1202.0,0,0,1
415,50800.0,1,2018.0,2019,1,11730.0,13100.0,73.0,16798,5594.0,15594.0,63777.0,78.0,0,0,1
224,60000.0,0,2020.0,2020,3,36493.0,14960.0,96.0,33520,22502.0,21787.0,98800.0,742.0,0,0,1
195,169407.0,0,2011.0,2011,8,32538.0,18760.0,220.0,47316,78628.0,78628.0,128998.0,4319.0,0,1,0
12,34887.0,1,2018.0,2019,8,36392.0,13910.0,115.0,36000,21998.0,21427.0,87888.0,1210.0,0,0,1
734,142017.0,0,2016.0,2017,2,35748.0,15580.0,132.0,53001,33467.0,36762.0,62800.0,1812.0,0,0,1
206,106000.0,0,2018.0,2018,3,27906.0,14530.0,92.0,41400,19724.0,19724.0,62800.0,742.0,0,0,1
80,131067.0,0,2011.0,2011,2,23725.0,13340.0,225.0,38216,60785.0,60785.0,82800.0,3071.0,0,1,0
128,264000.0,0,2007.0,2007,6,13825.0,23290.0,162.0,52077,35401.0,32182.0,61888.0,1815.0,0,1,0
406,99000.0,0,2019.0,2019,2,35083.0,13950.0,100.0,32200,28505.0,26075.0,79800.0,1182.0,0,0,1
143,60000.0,0,2018.0,2019,2,57112.0,22160.0,145.0,39400,51050.0,42178.0,141800.0,684.0,0,0,1
368,131067.0,0,2010.0,2011,1,4286.0,18400.0,90.0,16570,22211.0,22211.0,23800.0,868.0,0,1,0
455,40000.0,1,2017.0,2017,1,41471.0,34230.0,250.0,55000,43075.0,36482.0,118800.0,2384.0,0,0,1
395,2000.0,1,2023.0,2023,2,129004.0,25740.0,210.0,125011,38660.0,58768.0,262800.0,2147.0,1,0,1
467,11500.0,1,2022.0,2022,8,391918.0,81000.0,426.0,98389,415632.0,216196.0,868000.0,3922.0,0,0,1
561,102400.0,0,2017.0,2017,8,61994.0,22610.0,177.0,50110,78337.0,59076.0,106800.0,1212.0,0,0,1
727,110000.0,0,2018.0,2018,8,52956.0,26120.0,135.0,32302,55499.0,45356.0,141800.0,1210.0,0,0,1
259,2399.0,0,2023.0,2024,10,22183.0,10410.0,12.0,27729,1991.0,39804.0,103800.0,1272.0,1,0,0
544,43500.0,0,2020.0,2020,8,49399.0,20290.0,110.0,40990,31037.0,27883.0,144800.0,624.0,0,0,1
437,145949.0,0,2008.0,2008,3,14283.0,14920.0,79.0,38192,11444.0,11444.0,55800.0,1101.0,0,1,0
722,38715.0,0,2022.0,2022,8,124727.0,18980.0,100.0,112001,43971.0,37122.0,177500.0,684.0,0,0,1
321,19000.0,1,2021.0,2022,1,66869.0,12600.0,72.0,78899,5000.0,16277.0,103800.0,578.0,0,0,1
515,36850.0,0,2021.0,2022,1,70970.0,17270.0,75.0,73801,16014.0,27867.0,146000.0,684.0,0,0,1
206,90000.0,0,2017.0,2017,3,30157.0,19220.0,127.0,53300,25218.0,27298.0,66800.0,684.0,0,0,1
384,57710.0,0,2020.0,2020,10,16286.0,12560.0,0.0,26644,1468.0,29352.0,76800.0,3004.0,0,0,0
271,99500.0,0,2015.0,2016,2,46497.0,20070.0,155.0,49602,68011.0,53339.0,70800.0,1202.0,0,0,1
510,114824.0,0,2015.0,2015,10,5252.0,12540.0,12.0,35044,1000.0,19981.0,18800.0,1048.0,0,0,0
625,115000.0,1,2011.0,2012,6,44717.0,13130.0,135.0,60586,54305.0,54305.0,96888.0,1266.0,0,1,0
505,50500.0,0,2019.0,2019,1,20065.0,12320.0,58.0,31759,5000.0,13467.0,65800.0,508.0,0,0,1
479,23000.0,0,2023.0,2023,2,128519.0,19320.0,208.0,120889,27881.0,53095.0,185889.0,2135.0,0,0,1
162,118000.0,0,2015.0,2015,1,14872.0,15700.0,90.0,64700,17229.0,25163.0,23800.0,740.0,0,0,1
142,141207.0,0,2010.0,2010,3,19590.0,10540.0,80.0,32875,16716.0,16716.0,62800.0,1039.0,0,1,0
266,9700.0,1,2021.0,2021,2,101697.0,25180.0,145.0,68310,68471.0,53595.0,219800.0,1202.0,0,0,1
437,110000.0,0,2015.0,2015,3,13810.0,13320.0,86.0,57301,11951.0,11951.0,22800.0,738.0,0,0,1
142,99000.0,0,2015.0,2015,3,12952.0,14640.0,90.0,66590,12804.0,17804.0,20800.0,742.0,0,0,1
705,68021.0,1,2017.0,2017,8,18799.0,17210.0,112.0,53001,5000.0,26059.0,53800.0,682.0,0,0,1
727,50000.0,0,2021.0,2021,8,79806.0,28870.0,135.0,51900,60983.0,49273.0,220000.0,1210.0,0,0,1
177,59000.0,0,2022.0,2022,2,125302.0,22360.0,140.0,113299,46217.0,38726.0,208800.0,682.0,0,0,1
659,19000.0,0,2022.0,2023,8,94377.0,14070.0,85.0,97000,8373.0,22409.0,132000.0,392.0,1,0,1
705,75000.0,1,2015.0,2015,8,11247.0,17230.0,96.0,55889,7670.0,17670.0,25500.0,682.0,0,0,1
208,78000.0,0,2019.0,2019,2,51047.0,21800.0,120.0,38602,41087.0,35062.0,134800.0,586.0,0,0,1
510,100000.0,0,2018.0,2018,10,12158.0,10270.0,12.0,28501,1056.0,21101.0,43800.0,1048.0,0,0,0
545,85292.0,0,2017.0,2018,8,29307.0,13690.0,80.0,36810,24608.0,30434.0,61800.0,1048.0,0,0,1
372,86000.0,0,2019.0,2019,4,27221.0,13430.0,81.0,27000,17516.0,25368.0,78800.0,1048.0,0,0,1
201,132000.0,0,2017.0,2017,3,24991.0,15340.0,95.0,51106,16308.0,16308.0,53800.0,738.0,0,0,1
328,55920.0,1,2018.0,2018,8,24029.0,15650.0,110.0,36000,13559.0,13559.0,70000.0,1208.0,0,0,1
543,57710.0,0,2019.0,2020,8,41614.0,15080.0,85.0,36534,25417.0,23869.0,105800.0,392.0,0,0,1
139,68500.0,0,2020.0,2020,4,79418.0,28400.0,134.0,41510,72212.0,55673.0,208888.0,1792.0,0,0,1
206,141207.0,0,2009.0,2010,3,5466.0,12290.0,103.0,20357,25712.0,25712.0,16500.0,1369.0,0,1,0
294,150000.0,1,2008.0,2008,4,13598.0,12950.0,125.0,31553,20615.0,31552.0,55800.0,2457.0,0,1,0
257,71355.0,1,2016.0,2017,4,35638.0,19370.0,129.0,51109,38487.0,33205.0,66800.0,1630.0,0,0,1
540,57000.0,0,2018.0,2019,4,37389.0,18180.0,100.0,43102,24009.0,30006.0,98800.0,976.0,0,0,1
207,50888.0,0,2020.0,2020,7,55160.0,20230.0,96.0,37766,42272.0,35908.0,146800.0,586.0,0,0,1
