make,model,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price,make_encoded,model_encoded,manufactured_encoded,reg_date_encoded,type_of_vehicle_encoded,category_encoded
mercedes-benz,amg,2022.0,2023,suv,"parf car, consignment car, sgcarmart warranty cars",0,2505.0,243.0,2925.0,1.0,44570.0,108006,3268.0,194953.0,52000.0,89365.0,136603.0,450000.0,1,29,5,11,0,13
bmw,216i,2018.0,2018,mpv,"parf car, premium ad car",0,1480.0,75.0,1499.0,3.0,13980.0,38001,684.0,39297.0,163888.0,32789.0,37905.0,72888.0,8,30,0,0,2,1
honda,city,2018.0,2018,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",0,1096.0,88.0,1497.0,2.0,13020.0,38389,684.0,25705.0,95000.0,17233.0,17233.0,57800.0,2,31,0,0,3,8
ssangyong,Other,2011.0,2011,truck,"coe car, low mileage car",0,1800.0,19.0,1998.0,3.0,9570.0,39522,1815.0,28293.0,106000.0,16282.0,16282.0,68500.0,14,17,11,7,5,12
isuzu,Other,2012.0,2012,truck,coe car,1,11800.0,19.0,15681.0,1.0,25730.0,26442,22286.08604932114,16155.0,87357.0,102219.0,5111.0,78600.0,15,17,12,13,5,9
audi,q2,2019.0,2019,suv,parf car,0,1315.0,85.0,999.0,1.0,16260.0,26659,392.0,31345.0,90000.0,24924.0,26894.0,89800.0,9,32,7,8,0,0
volvo,v40,2015.0,2015,hatchback,"parf car, sgcarmart warranty cars",0,1450.0,90.0,1498.0,3.0,14230.0,56989,684.0,18889.0,113000.0,22664.0,18730.0,30800.0,16,33,10,10,6,14
mitsubishi,asx,2016.0,2016,suv,"parf car, premium ad car",0,1355.0,110.0,1998.0,1.0,14090.0,55501,1210.0,24532.0,49317.0,19041.0,19041.0,42800.0,6,34,8,12,0,1
nissan,cabstar,2016.0,2017,truck,premium ad car,1,1800.0,19.0,2953.0,1.0,10570.0,42809,3495.0,13159.0,120381.0,26468.0,1324.0,32500.0,17,35,8,1,5,15
volkswagen,golf,2015.0,2016,hatchback,parf car,0,1249.0,92.0,1395.0,2.0,15830.0,53000,624.0,17656.0,109000.0,20513.0,10719.0,38888.0,11,20,10,12,6,0
honda,shuttle,2018.0,2018,stationwagon,"parf car, premium ad car, hybrid cars",0,1190.0,101.0,1496.0,2.0,14890.0,38700,682.0,18094.0,65000.0,20960.0,5000.0,59600.0,2,28,0,0,7,11
toyota,harrier,2008.0,2009,suv,"coe car, low mileage car",0,1600.0,118.0,2362.0,5.0,11920.0,37941,2457.0,20010.0,130650.0,27778.0,27778.0,62888.0,3,36,3,6,0,12
kia,cerato,2014.0,2014,mid-sized sedan,"coe car, premium ad car, sgcarmart warranty cars",0,1295.0,95.0,1591.0,2.0,11850.0,39241,738.0,38273.0,112000.0,13767.0,8767.0,57800.0,18,37,13,14,3,16
jaguar,i-pace,2021.0,2022,suv,"parf car, electric cars",0,2208.0,294.0,1911.0,1.0,24030.0,82501,4086.0,122194.0,33000.0,79889.0,80801.0,219800.0,19,38,14,5,0,17
toyota,estima,2008.0,2008,mpv,"coe car, premium ad car",0,1750.0,125.0,2362.0,4.0,12910.0,50578,2457.0,17973.0,170000.0,28187.0,28187.0,45888.0,3,39,3,3,2,3
hyundai,avante,2009.0,2009,mid-sized sedan,"coe car, premium ad car, low mileage car",0,1264.0,89.0,1591.0,5.0,9910.0,25727,1107.0,11475.0,140000.0,11635.0,336.0,44188.0,12,40,15,6,3,2
nissan,qashqai,2017.0,2017,suv,"parf car, premium ad car",0,1285.0,85.0,1197.0,1.0,14340.0,50789,508.0,22315.0,81368.0,18583.0,13583.0,46800.0,17,41,1,1,0,1
mini,cooper,2011.0,2012,hatchback,"coe car, premium ad car",0,1295.0,88.0,1598.0,2.0,14850.0,27020,965.0,13754.0,180563.0,25966.0,25966.0,37800.0,20,42,11,13,6,3
toyota,hiace,2012.0,2012,bus/mini bus,"coe car, premium ad car",0,2180.0,0.0,2982.0,3.0,13730.0,26276,3003.21150962459,15996.0,162200.0,54645.0,2733.0,41800.0,3,43,12,13,8,3
hyundai,avante,2009.0,2009,mid-sized sedan,"coe car, consignment car",0,1264.0,89.0,1591.0,4.0,10010.0,26175,1107.0,12765.0,199661.0,11216.0,11216.0,48800.0,12,40,15,6,3,4
mg,Other,1995.0,1998,sports car,"coe car, premium ad car, low mileage car",0,1562.0,245.0,1796.0,6.0,11050.0,32279,1461.0,14141.0,91000.0,30259.0,42363.0,48400.0,21,17,16,15,4,2
mazda,2,2016.0,2016,luxury sedan,"parf car, premium ad car",0,1513.0,141.0,2488.0,3.0,12510.0,49700,1786.0,26306.0,109062.0,27853.0,30995.0,38800.0,10,18,8,12,1,1
volkswagen,golf,2018.0,2019,hatchback,"parf car, premium ad car, low mileage car",0,1270.0,92.0,1395.0,2.0,15870.0,27000,624.0,31987.0,44000.0,24707.0,26590.0,91888.0,11,20,0,8,6,6
kia,stonic,2020.0,2020,suv,"parf car, low mileage car",0,1185.0,88.0,998.0,1.0,14170.0,38504,392.0,30766.0,34296.0,19037.0,9037.0,92800.0,18,45,9,9,0,19
mazda,3,2019.0,2021,mid-sized sedan,"parf car, hybrid cars",0,1397.0,88.0,1496.0,1.0,15330.0,37690,682.0,34489.0,72000.0,26036.0,13451.0,105988.0,10,15,7,16,3,20
seat,leon,2017.0,2018,stationwagon,parf car,0,1259.0,85.0,999.0,1.0,12750.0,28199,392.0,32338.0,94000.0,25933.0,28307.0,70800.0,22,46,1,0,7,0
audi,q3,2021.0,2021,suv,"parf car, premium ad car",0,1545.0,110.0,1395.0,1.0,19940.0,47001,624.0,54458.0,42000.0,27557.0,30580.0,148999.0,9,13,14,16,0,1
hyundai,i30,2018.0,2019,hatchback,"parf car, premium ad car, sgcarmart warranty cars",0,1240.0,103.0,1353.0,1.0,15770.0,36961,600.0,30191.0,57500.0,18103.0,18103.0,83800.0,12,47,0,8,6,8
nissan,nv350,2019.0,2020,van,premium ad car,1,1800.0,12.0,2488.0,1.0,11060.0,25001,1786.0,14014.0,71806.0,25565.0,1279.0,61988.0,17,48,7,9,9,15
bmw,x4,2019.0,2019,suv,"parf car, direct owner sale",0,1720.0,135.0,1998.0,2.0,27800.0,40001,1210.0,64457.0,95272.0,47396.0,58355.0,173000.0,8,49,7,8,0,21
nissan,note,2021.0,2022,hatchback,"parf car, premium ad car, hybrid cars",0,1220.0,85.0,1198.0,2.0,13970.0,60761,714.0,51509.0,24467.0,21061.0,6486.0,110500.0,17,50,14,5,6,11
toyota,rush,2008.0,2008,suv,"coe car, premium ad car",0,1150.0,80.0,1495.0,4.0,11600.0,32339,1023.0,13609.0,83846.0,15281.0,15281.0,48800.0,3,51,3,3,0,3
hyundai,elantra,2017.0,2017,mid-sized sedan,"parf car, premium ad car",0,1345.0,93.0,1591.0,2.0,15980.0,41761,738.0,21893.0,123000.0,11960.0,11960.0,60000.0,12,21,1,1,3,1
mini,cooper,2015.0,2016,hatchback,parf car,0,1320.0,100.0,1499.0,2.0,19110.0,46970,684.0,21766.0,98200.0,27192.0,25069.0,45000.0,20,42,10,12,6,0
lexus,es,2015.0,2015,luxury sedan,"parf car, premium ad car, low mileage car",0,1615.0,135.0,2494.0,1.0,18320.0,62140,1792.0,32758.0,87337.0,39966.0,47953.0,42800.0,4,52,10,10,1,6
mercedes-benz,glc200,2018.0,2019,suv,parf car,0,1705.0,135.0,1991.0,2.0,23440.0,31001,1202.0,49741.0,123000.0,42569.0,51597.0,128800.0,1,53,0,8,0,0
peugeot,partner,2017.0,2018,van,premium ad car,0,1460.0,12.0,1560.0,2.0,8430.0,30280,1278.0,12145.0,167868.0,20290.0,1015.0,33800.0,23,54,1,0,9,15
honda,vezel,2017.0,2017,suv,"parf car, hybrid cars",0,1280.0,112.0,1496.0,2.0,14870.0,50001,682.0,18483.0,76000.0,25340.0,5000.0,47800.0,2,55,1,1,0,20
honda,civic,2007.0,2008,mid-sized sedan,"coe car, premium ad car, low mileage car",0,1220.0,92.0,1595.0,6.0,16910.0,42698,1110.0,15137.0,136000.0,18919.0,20811.0,60000.0,2,16,2,3,3,2
honda,fit,2018.0,2018,hatchback,"parf car, hybrid cars",0,1080.0,101.0,1496.0,2.0,13350.0,31001,682.0,18404.0,179057.0,19759.0,9759.0,56800.0,2,56,0,0,6,20
mercedes-benz,amg,2013.0,2013,luxury sedan,"coe car, premium ad car, sgcarmart warranty cars",0,1430.0,115.0,1595.0,5.0,11830.0,99617,814.0,79694.0,119000.0,29909.0,23873.0,109800.0,1,29,18,17,1,16
bmw,420i,2017.0,2017,luxury sedan,parf car,0,1540.0,135.0,1998.0,2.0,21170.0,47501,1210.0,40507.0,105000.0,40838.0,44174.0,84500.0,8,57,1,1,1,0
mercedes-benz,c180,2008.0,2009,luxury sedan,"coe car, premium ad car",0,1485.0,115.0,1796.0,5.0,11380.0,31335,1461.0,14260.0,165000.0,37067.0,37067.0,51800.0,1,8,3,6,1,3
bentley,continental,2013.0,2013,sports car,"coe car, consignment car",0,2295.0,373.0,3993.0,5.0,28640.0,45586,4334.0,30212.0,108000.0,172046.0,281683.0,189800.0,13,24,18,17,4,4
volkswagen,passat,2016.0,2016,luxury sedan,"parf car, premium ad car",0,1480.0,132.0,1798.0,1.0,14400.0,50089,976.0,25150.0,107529.0,31415.0,30981.0,38800.0,11,58,8,12,1,1
audi,r8,2011.0,2011,sports car,"coe car, premium ad car",0,1565.0,316.0,4163.0,6.0,30160.0,53932,5888.0,36836.0,96444.0,147728.0,147728.0,206000.0,9,59,11,7,4,3
audi,a1,2016.0,2017,hatchback,"parf car, premium ad car",0,1165.0,70.0,999.0,5.0,15850.0,48556,392.0,17925.0,82308.0,21256.0,6759.0,48800.0,9,60,8,1,6,1
citroen,Other,2022.0,2024,van,"almost new car, electric cars",0,2000.0,12.0,1840.0,1.0,11920.0,23143,1026.0,22217.0,57144.0,47243.0,2363.0,114500.0,24,17,5,18,9,22
honda,vezel,2017.0,2017,suv,"parf car, premium ad car, hybrid cars",0,1280.0,112.0,1496.0,1.0,14750.0,53001,682.0,18276.0,94000.0,26381.0,5000.0,45000.0,2,55,1,1,0,11
audi,q5,2019.0,2020,suv,"parf car, premium ad car",0,1795.0,185.0,1984.0,1.0,22720.0,35889,1194.0,61850.0,61000.0,43839.0,53375.0,164800.0,9,61,7,9,0,1
toyota,alphard,2019.0,2020,mpv,parf car,0,1940.0,134.0,2493.0,2.0,26730.0,41001,1792.0,62153.0,54000.0,40098.0,48138.0,193888.0,3,62,7,9,2,0
volkswagen,golf,2015.0,2015,hatchback,parf car,0,1249.0,90.0,1395.0,2.0,11950.0,56001,624.0,12171.0,114303.0,19158.0,9158.0,19800.0,11,20,10,10,6,0
hyundai,accent,2018.0,2018,mid-sized sedan,"parf car, sgcarmart warranty cars",0,1115.0,73.0,1368.0,3.0,12370.0,41400,608.0,19845.0,174528.0,7828.0,7828.0,48000.0,12,63,0,0,3,14
porsche,macan,2014.0,2015,suv,"parf car, direct owner sale",0,1940.0,250.0,2997.0,4.0,48410.0,77600,2382.0,57470.0,116000.0,71450.0,100610.0,95000.0,25,64,13,10,0,21
hyundai,Other,2008.0,2008,hatchback,"coe car, low mileage car",1,1122.0,48.0,1086.0,1.0,9090.0,30284,663.0,13267.0,130000.0,7890.0,7890.0,39800.0,12,17,3,3,6,12
tesla,model,2021.0,2021,luxury sedan,Other,0,1844.0,377.0,2135.0,1.0,16090.0,62600,5384.0,88663.0,87000.0,73264.0,58876.0,143800.0,26,65,14,16,1,23
toyota,harrier,2021.0,2021,suv,"parf car, direct owner sale, hybrid cars",0,1665.0,160.0,2487.0,2.0,25680.0,61001,1784.0,68692.0,60000.0,40927.0,34298.0,198000.0,3,36,14,16,0,24
volvo,s60,2013.0,2014,luxury sedan,"coe car, consignment car",0,1549.0,84.0,1560.0,2.0,9230.0,79237,1278.0,77240.0,135104.0,32318.0,22246.0,89998.0,16,66,18,14,1,4
porsche,cayenne,2015.0,2016,suv,"parf car, premium ad car",0,2115.0,220.0,3598.0,3.0,40090.0,59889,3322.0,76913.0,146053.0,83334.0,122002.0,126688.0,25,67,10,12,0,1
peugeot,partner,2016.0,2017,van,-,0,1460.0,12.0,1560.0,1.0,8130.0,28489,1278.0,8687.0,36039.0,19591.0,980.0,24800.0,23,54,8,1,9,7
land rover,discovery,2015.0,2015,suv,"parf car, low mileage car",0,1841.0,177.0,1999.0,2.0,20800.0,60001,1212.0,56032.0,49973.0,63835.0,86903.0,71998.0,0,68,10,10,0,19
volvo,s60,2017.0,2017,luxury sedan,parf car,0,1615.0,140.0,1969.0,2.0,14500.0,48001,1764.0,29342.0,113000.0,28059.0,21283.0,58000.0,16,66,1,1,1,0
suzuki,every,2021.0,2022,van,"premium ad car, low mileage car",0,920.0,12.0,658.0,1.0,9200.0,29426,326.0,22654.0,14000.0,15309.0,766.0,70800.0,27,69,14,5,9,25
mitsubishi,attrage,2021.0,2021,mid-sized sedan,"parf car, low mileage car, sgcarmart warranty cars",0,945.0,59.0,1193.0,1.0,11910.0,41001,506.0,33113.0,19498.0,14397.0,5000.0,87800.0,6,70,14,16,3,26
mitsubishi,lancer,2008.0,2008,mid-sized sedan,"coe car, direct owner sale, low mileage car",0,1313.0,80.0,1499.0,1.0,12680.0,27571,1026.0,12154.0,123928.0,18193.0,18193.0,55888.0,6,71,3,3,3,27
subaru,forester,2016.0,2017,suv,"parf car, premium ad car",0,1682.0,177.0,1998.0,2.0,14990.0,48209,1210.0,24143.0,99000.0,19237.0,19237.0,48800.0,7,72,8,1,0,1
suzuki,spacia,2023.0,2024,van,"almost new car, low mileage car",0,840.0,12.0,658.0,1.0,8830.0,59950,326.0,58965.0,500.0,15101.0,756.0,86800.0,27,73,17,18,9,28
honda,e,2024.0,2024,mpv,"parf car, almost new car, low mileage car, hybrid cars",0,1920.0,242.0,1993.0,1.0,21780.0,102334,1204.0,112080.0,45.0,38060.0,40284.0,236988.0,2,22,19,18,2,18
honda,n-van,2022.0,2022,van,-,0,940.0,12.0,658.0,2.0,8620.0,31569,326.0,24364.0,33000.0,18213.0,911.0,66500.0,2,74,5,5,9,7
mazda,2,2019.0,2019,suv,"parf car, premium ad car",0,1576.0,121.0,1998.0,1.0,16650.0,39889,1210.0,45230.0,100773.0,29591.0,33428.0,102000.0,10,18,7,8,0,1
mercedes-benz,cla180,2016.0,2016,stationwagon,"parf car, premium ad car",0,1460.0,90.0,1595.0,2.0,16510.0,53000,740.0,27283.0,112638.0,31065.0,30491.0,48000.0,1,75,8,12,7,1
toyota,hiace,2016.0,2016,van,-,1,1760.0,0.0,2982.0,3.0,15500.0,5591,3003.21150962459,1147.0,76759.0,29761.0,1489.0,31800.0,3,43,8,12,9,7
subaru,impreza,2008.0,2008,hatchback,"coe car, premium ad car",0,1390.0,184.0,1994.0,6.0,16070.0,31553,1809.0,14333.0,95143.0,25958.0,25958.0,73000.0,7,9,3,3,6,3
bmw,x3,2011.0,2011,suv,"coe car, premium ad car",0,1805.0,225.0,2979.0,5.0,17720.0,53932,3071.0,38004.0,140000.0,60060.0,60060.0,124888.0,8,76,11,7,0,3
volvo,v40,2018.0,2019,hatchback,"parf car, premium ad car",0,1441.0,140.0,1969.0,1.0,15180.0,39889,1176.0,38703.0,65404.0,22799.0,23919.0,91000.0,16,33,0,8,6,1
honda,civic,2008.0,2008,mid-sized sedan,coe car,0,1219.0,103.0,1799.0,6.0,13670.0,32121,1467.0,13605.0,174488.0,24242.0,24242.0,57888.0,2,16,3,3,3,9
mercedes-benz,gla180,2017.0,2018,suv,"parf car, premium ad car",0,1435.0,90.0,1595.0,2.0,18470.0,41400,740.0,35452.0,73000.0,28082.0,31315.0,83000.0,1,77,1,0,0,1
toyota,harrier,2016.0,2016,suv,"parf car, premium ad car",0,1610.0,111.0,1986.0,2.0,17190.0,47604,1196.0,23697.0,94448.0,28882.0,27435.0,44800.0,3,36,8,12,0,1
mercedes-benz,a200,2018.0,2019,hatchback,"parf car, premium ad car",0,1375.0,120.0,1332.0,2.0,19950.0,31101,586.0,39890.0,58400.0,32046.0,36865.0,108800.0,1,78,0,8,6,1
mercedes-benz,e200,2006.0,2007,luxury sedan,"coe car, premium ad car, low mileage car",0,1690.0,120.0,1796.0,2.0,11400.0,52491,1461.0,15100.0,146208.0,57169.0,40019.0,32800.0,1,11,4,2,1,2
mercedes-benz,citan,2015.0,2015,van,premium ad car,1,1420.0,12.0,1461.0,2.0,10630.0,46801,1048.0,5193.0,189738.0,24963.0,1249.0,11800.0,1,79,10,10,9,15
mazda,Other,2021.0,2021,suv,"parf car, sgcarmart warranty cars",0,1256.0,85.0,1496.0,1.0,16040.0,48002,682.0,47949.0,58000.0,19638.0,19638.0,120800.0,10,17,14,16,0,14
audi,a3,2016.0,2016,luxury sedan,"parf car, direct owner sale, low mileage car",0,1310.0,92.0,1395.0,1.0,15180.0,47889,624.0,17773.0,57236.0,25118.0,17166.0,35000.0,9,80,8,12,1,29
mercedes-benz,c180,2016.0,2016,luxury sedan,"parf car, premium ad car, low mileage car, sgcarmart warranty cars",0,1425.0,115.0,1595.0,4.0,19710.0,55001,740.0,30742.0,78000.0,35589.0,36825.0,56000.0,1,8,8,12,1,30
kia,Other,2020.0,2021,suv,"parf car, premium ad car",0,1323.0,103.0,1353.0,1.0,15660.0,47506,600.0,47120.0,35000.0,21202.0,21683.0,115888.0,18,17,9,16,0,1
volvo,s90,2019.0,2021,luxury sedan,"parf car, premium ad car",0,1695.0,187.0,1969.0,3.0,20770.0,47001,1176.0,65559.0,45000.0,38681.0,46154.0,159800.0,16,81,7,16,1,1
honda,jazz,2007.0,2007,hatchback,"coe car, premium ad car, low mileage car",0,1040.0,60.0,1339.0,1.0,11640.0,42564,885.0,13457.0,134000.0,14400.0,15840.0,36800.0,2,82,2,2,6,2
audi,a3,2021.0,2021,hatchback,"parf car, low mileage car, hybrid cars",0,1395.0,110.0,1498.0,1.0,17670.0,63002,684.0,53895.0,22000.0,27268.0,15176.0,126800.0,9,80,14,16,6,31
honda,e,2015.0,2015,mpv,parf car,0,1855.0,129.0,2356.0,2.0,17940.0,60001,1630.0,24568.0,127000.0,28590.0,32026.0,36800.0,2,22,10,10,2,0
audi,a1,2020.0,2021,hatchback,"parf car, premium ad car, low mileage car",0,1200.0,85.0,999.0,1.0,15070.0,57010,392.0,61952.0,16000.0,23987.0,25582.0,125800.0,9,60,9,16,6,6
bmw,216i,2021.0,2021,hatchback,"parf car, premium ad car",0,1380.0,80.0,1499.0,2.0,15390.0,47821,684.0,60333.0,75813.0,31169.0,35637.0,125998.0,8,30,14,16,6,1
bmw,m3,2010.0,2011,sports car,"coe car, premium ad car",0,1675.0,309.0,3999.0,5.0,19590.0,45586,5527.0,30212.0,150000.0,85932.0,85932.0,129800.0,8,83,6,7,4,3
nissan,cabstar,2017.0,2017,truck,premium ad car,1,1760.0,19.0,2953.0,1.0,11820.0,46890,3495.0,16585.0,13304.0,27176.0,1359.0,41800.0,17,35,1,1,5,15
honda,civic,2019.0,2019,mid-sized sedan,parf car,0,1237.0,92.0,1597.0,2.0,15980.0,31917,742.0,31200.0,82000.0,20072.0,20101.0,90800.0,2,16,7,8,3,0
bmw,523i,2010.0,2010,luxury sedan,coe car,0,1650.0,150.0,2497.0,6.0,14510.0,37502,2694.0,19594.0,177000.0,37893.0,37893.0,75800.0,8,84,6,19,1,9
volkswagen,golf,2010.0,2011,sports car,"coe car, premium ad car",0,1339.0,155.0,1984.0,4.0,16310.0,40714,1552.0,26659.0,73983.0,33242.0,33242.0,106800.0,11,20,6,7,4,3
honda,freed,2019.0,2019,mpv,"parf car, low mileage car, hybrid cars, sgcarmart warranty cars",0,1430.0,101.0,1496.0,1.0,16990.0,38602,682.0,34524.0,37983.0,27173.0,20043.0,95800.0,2,85,7,8,2,32
mazda,3,2017.0,2018,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",0,1310.0,88.0,1496.0,2.0,12070.0,42900,682.0,24477.0,111878.0,15108.0,15108.0,48800.0,10,15,1,0,3,8
citroen,c4,2017.0,2017,suv,"parf car, premium ad car",0,1050.0,81.0,1199.0,2.0,12520.0,38200,508.0,16751.0,146146.0,18278.0,5000.0,46800.0,24,86,1,1,0,1
mercedes-benz,e200,1999.0,2000,luxury sedan,"coe car, direct owner sale, low mileage car",0,1617.0,135.0,1998.0,5.0,10320.0,39463,1815.0,22175.0,175500.0,51347.0,71886.0,58000.0,1,11,20,20,1,27
toyota,wish,2017.0,2018,mpv,"parf car, sgcarmart warranty cars",0,1355.0,105.0,1798.0,4.0,17290.0,38801,976.0,27970.0,86148.0,19955.0,19955.0,76800.0,3,87,1,0,2,14
