make,model,manufactured,type_of_vehicle,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price,reg_year,car_age,almost new car,coe car,consignment car,direct owner sale,electric cars,hybrid cars,imported used vehicle,low mileage car,opc car,parf car,premium ad car,rare & exotic,sgcarmart warranty cars,sta evaluated car,vintage cars,omv_arf_ratio,dereg_coe_ratio
83,430.0,2007.0,3,70.0,1597.0,5.0,13130.0,44081.0,1113.0,14372.0,141005.85217794706,10074.0,11082.0,42800.0,2007,17,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9090416892257716,0.32603616070415825
54,204.0,2019.0,9,92.0,2998.0,1.0,14080.0,23280.0,2982.6854699709857,11544.0,82833.61018119336,29628.0,1482.0,69800.0,2019,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.991902834008098,0.49587628865979383
51,284.0,2017.0,2,110.0,1950.0,2.0,23930.0,57501.0,1734.0,46976.0,100000.0,46134.0,41588.0,103800.0,2017,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.109310377993652,0.8169597050486078
8,50.0,2016.0,2,100.0,1499.0,2.0,17210.0,50389.0,684.0,29459.0,82000.0,29860.0,28804.0,55999.0,2017,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0366615747812804,0.5846315664133045
4,577.0,2020.0,8,110.0,1395.0,2.0,20740.0,41510.0,624.0,51246.0,55000.0,30410.0,34574.0,143800.0,2020,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.8795626771562446,1.2345458925560107
54,552.0,2018.0,8,110.0,1998.0,1.0,16190.0,34381.0,1210.0,31811.0,47000.0,22527.0,23538.0,84000.0,2018,6,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.9570481774152434,0.9252494110118961
49,41.0,2017.0,3,88.0,1496.0,2.0,14450.0,52000.0,682.0,21300.0,87000.0,14761.0,9761.0,47800.0,2017,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5122425980944576,0.4096153846153846
29,220.0,2018.0,3,127.0,1498.0,2.0,17430.0,30851.0,684.0,34304.0,64000.0,26594.0,29232.0,92950.0,2019,5,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.9097564313081554,1.1119250591552947
8,96.0,2006.0,6,190.0,2996.0,5.0,16480.0,47450.0,3573.0,8580.0,160701.2311969367,73635.0,80999.0,29800.0,2006,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90908529734935,0.18082191780821918
49,14.0,2019.0,1,85.0,1496.0,1.0,10440.0,19534.0,182.0,25904.0,45000.0,18419.0,18419.0,73800.0,2020,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,1.3260980853895772
88,536.0,2018.0,4,100.0,1797.0,1.0,22310.0,38700.0,974.0,35279.0,85100.0,32573.0,27603.0,105800.0,2018,6,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1.180052892801507,0.9116020671834625
92,388.0,2018.0,1,81.0,999.0,3.0,13130.0,32699.0,392.0,25182.0,111581.04772649967,17008.0,17008.0,61800.0,2018,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.7701152940456895
31,298.0,2017.0,3,93.0,1591.0,1.0,13700.0,46778.0,738.0,23273.0,129714.0,12579.0,12579.0,50500.0,2017,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.497520201804267
29,274.0,2015.0,4,129.0,2356.0,2.0,20010.0,57501.0,1630.0,25993.0,70000.0,28300.0,31620.0,45800.0,2015,9,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.8950031625553447,0.45204431227283004
29,692.0,2008.0,4,103.0,1799.0,1.0,12860.0,31553.0,1467.0,13442.0,115000.0,17446.0,6947.0,54800.0,2008,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2.51129984165827,0.42601337432256836
92,161.0,2017.0,2,206.0,1984.0,1.0,22110.0,53711.0,1194.0,54192.0,63161.0,44874.0,54824.0,103800.0,2017,7,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.8185101415438494,1.0089553350337919
49,41.0,2017.0,3,88.0,1496.0,1.0,15130.0,48401.0,682.0,21745.0,102151.0,19672.0,14672.0,47800.0,2017,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.340785169029444,0.44926757711617527
6,234.0,2022.0,6,404.0,3996.0,1.0,116950.0,107889.0,3944.0,485041.0,1702.0,268927.0,531640.0,1288888.0,2023,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.5058441802723648,4.495740993057679
8,70.0,2016.0,2,185.0,1998.0,3.0,26250.0,56206.0,1210.0,48636.0,63000.0,47372.0,58321.0,92888.0,2016,8,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.812263164211862,0.8653168700850443
51,287.0,2008.0,2,150.0,2497.0,2.0,10510.0,31553.0,2694.0,14350.0,185000.0,55328.0,55328.0,47800.0,2009,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.4547903527398346
29,242.0,2016.0,8,140.0,2354.0,3.0,15870.0,46502.0,1628.0,27206.0,86000.0,30143.0,34201.0,45800.0,2016,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8813484985819128,0.585050105371812
51,382.0,2019.0,8,155.0,1991.0,1.0,24340.0,41805.0,1202.0,63175.0,105000.0,43770.0,53278.0,161800.0,2020,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8215398475918766,1.5111828728620977
29,653.0,2018.0,7,97.0,1496.0,2.0,14240.0,26301.0,682.0,19110.0,47000.0,19924.0,9924.0,70800.0,2019,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2.007658202337767,0.7265883426485685
51,157.0,2022.0,8,243.0,2925.0,1.0,44570.0,108006.0,3268.0,194953.0,52000.0,89365.0,136603.0,450000.0,2023,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.6541950030380006,1.8050200914763994
8,24.0,2018.0,4,75.0,1499.0,3.0,13980.0,38001.0,684.0,39297.0,163888.0,32789.0,37905.0,72888.0,2018,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.8650309985490041,1.0341043656745874
29,219.0,2018.0,3,88.0,1497.0,2.0,13020.0,38389.0,684.0,25705.0,95000.0,17233.0,17233.0,57800.0,2018,6,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,0.6695928521190966
82,144.0,2011.0,9,99.0,1998.0,3.0,9570.0,39522.0,1408.5479567860286,28293.0,106000.0,16282.0,16282.0,68500.0,2011,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.7158797631698801
34,253.0,2012.0,9,0.0,15681.0,1.0,25730.0,26442.0,21664.971926569666,16155.0,156147.78793009053,102219.0,5111.0,78600.0,2012,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.999804343572688,0.6109598366235535
4,576.0,2019.0,8,85.0,999.0,1.0,16260.0,26659.0,392.0,31345.0,90000.0,24924.0,26894.0,89800.0,2019,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9267494608462854,1.1757755354664465
93,733.0,2015.0,1,90.0,1498.0,3.0,14230.0,56989.0,684.0,18889.0,113000.0,22664.0,18730.0,30800.0,2015,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.210037373198078,0.3314499289336539
54,163.0,2016.0,8,110.0,1998.0,1.0,14090.0,55501.0,1210.0,24532.0,86250.98361610778,19041.0,19041.0,42800.0,2016,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.4420100538729032
58,200.0,2016.0,9,105.0,2953.0,1.0,10570.0,42809.0,2897.672776697146,13159.0,120381.0,26468.0,1324.0,32500.0,2017,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.99093655589124,0.30738863323132987
92,388.0,2015.0,1,92.0,1395.0,2.0,15830.0,53000.0,624.0,17656.0,109000.0,20513.0,10719.0,38888.0,2016,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.9137046366265509,0.3331320754716981
29,653.0,2018.0,7,101.0,1496.0,2.0,14890.0,38700.0,682.0,18094.0,65000.0,20960.0,5000.0,59600.0,2018,6,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4.192,0.4675452196382429
88,406.0,2008.0,8,118.0,2362.0,5.0,11920.0,37941.0,2457.0,20010.0,130650.0,27778.0,27778.0,62888.0,2009,15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.5273978018502412
39,215.0,2014.0,3,95.0,1591.0,2.0,11850.0,39241.0,738.0,38273.0,112000.0,13767.0,8767.0,57800.0,2014,10,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.5703205201323143,0.9753319232435463
36,417.0,2021.0,8,294.0,3723.9277242331054,1.0,24030.0,82501.0,4086.0,122194.0,33000.0,79889.0,80801.0,219800.0,2022,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.9887130109775869,1.4811214409522309
88,313.0,2008.0,4,125.0,2362.0,4.0,12910.0,50578.0,2457.0,17973.0,170000.0,28187.0,28187.0,45888.0,2008,16,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.3553521293843173
31,169.0,2009.0,3,89.0,1591.0,5.0,9910.0,25727.0,1107.0,11475.0,140000.0,11635.0,336.0,44188.0,2009,15,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,34.62797619047619,0.44602946320985737
58,584.0,2017.0,8,85.0,1197.0,1.0,14340.0,50789.0,508.0,22315.0,81368.0,18583.0,13583.0,46800.0,2017,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.3681071928145476,0.4393667920218945
53,235.0,2011.0,1,88.0,1598.0,2.0,14850.0,27020.0,965.0,13754.0,106984.04623383327,25966.0,25966.0,37800.0,2012,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.5090303478904515
88,408.0,2012.0,0,0.0,2982.0,3.0,13730.0,26276.0,3472.1787062121066,15996.0,98923.78052002833,54645.0,2733.0,41800.0,2012,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,19.99451152579583,0.6087684579083574
31,169.0,2009.0,3,89.0,1591.0,4.0,10010.0,26175.0,1107.0,12765.0,199661.0,11216.0,11216.0,48800.0,2009,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.4876790830945559
52,323.0,1995.0,6,112.0,1796.0,6.0,11050.0,32279.0,1461.0,14141.0,91000.0,30259.0,42363.0,48400.0,1998,26,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.7142789698557703,0.4380866817435484
44,613.0,2023.0,8,184.0,2487.0,1.0,34670.0,150001.0,1784.0,180001.0,8000.0,73915.0,120788.0,377800.0,2023,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.611939927807398,1.1999986666755555
49,14.0,2016.0,2,141.0,2488.0,3.0,12510.0,49700.0,1786.0,26306.0,109062.0,27853.0,30995.0,38800.0,2016,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.8986288110985643,0.5292957746478874
92,388.0,2018.0,1,92.0,1395.0,2.0,15870.0,27000.0,624.0,31987.0,44000.0,24707.0,26590.0,91888.0,2019,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.9291839037232043,1.1847037037037038
39,691.0,2020.0,8,88.0,998.0,1.0,14170.0,38504.0,392.0,30766.0,34296.0,19037.0,9037.0,92800.0,2020,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2.106561912138984,0.7990338666112612
49,41.0,2019.0,3,88.0,1496.0,1.0,15330.0,37690.0,682.0,34489.0,72000.0,26036.0,13451.0,105988.0,2021,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.9356181696528139,0.915070310427169
75,473.0,2017.0,7,85.0,999.0,1.0,12750.0,28199.0,392.0,32338.0,94000.0,25933.0,28307.0,70800.0,2018,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9161338184901261,1.1467782545480336
4,577.0,2021.0,8,110.0,1395.0,1.0,19940.0,47001.0,624.0,54458.0,42000.0,27557.0,30580.0,148999.0,2021,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.9011445389143231,1.1586561988042807
31,419.0,2018.0,1,103.0,1353.0,1.0,15770.0,36961.0,600.0,30191.0,57500.0,18103.0,18103.0,83800.0,2019,5,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.0,0.8168339601201267
58,543.0,2019.0,10,105.0,2488.0,1.0,11060.0,25001.0,2235.027428317624,14014.0,81231.58186441798,25565.0,1279.0,61988.0,2020,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.98827208756841,0.5605375784968601
8,769.0,2019.0,8,135.0,1998.0,2.0,27800.0,40001.0,1210.0,64457.0,72736.53444060423,47396.0,58355.0,173000.0,2019,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.812201182417959,1.6113847153821155
58,537.0,2021.0,1,85.0,1198.0,2.0,13970.0,60761.0,714.0,51509.0,24467.0,21061.0,6486.0,110500.0,2022,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3.2471477027443725,0.8477312749954741
88,612.0,2008.0,8,80.0,1495.0,4.0,11600.0,32339.0,1023.0,13609.0,129259.91832070539,15281.0,15281.0,48800.0,2008,16,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.42082315470484555
31,298.0,2017.0,3,93.0,1591.0,2.0,15980.0,41761.0,738.0,21893.0,123000.0,11960.0,11960.0,60000.0,2017,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.5242451090730585
53,235.0,2015.0,1,100.0,1499.0,2.0,19110.0,46970.0,684.0,21766.0,98200.0,27192.0,25069.0,45000.0,2016,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0846862659060992,0.4634021715988929
44,311.0,2015.0,2,135.0,2494.0,1.0,18320.0,62140.0,1792.0,32758.0,87337.0,39966.0,47953.0,42800.0,2015,9,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.8334410777219361,0.5271644673318313
51,381.0,2018.0,8,135.0,1991.0,2.0,23440.0,31001.0,1202.0,49741.0,123000.0,42569.0,51597.0,128800.0,2019,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8250285869333488,1.6044966291409954
62,558.0,2017.0,10,100.0,1560.0,2.0,8430.0,30280.0,944.8458082685236,12145.0,93551.77055421477,20290.0,1015.0,33800.0,2018,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.99014778325123,0.4010898282694848
29,746.0,2017.0,8,112.0,1496.0,2.0,14870.0,50001.0,682.0,18483.0,76000.0,25340.0,5000.0,47800.0,2017,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.068,0.36965260694786106
29,220.0,2007.0,3,92.0,1595.0,6.0,16910.0,42698.0,1110.0,15137.0,136000.0,18919.0,20811.0,60000.0,2008,16,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.9090865407717073,0.3545130919481006
29,340.0,2018.0,1,101.0,1496.0,2.0,13350.0,31001.0,682.0,18404.0,91490.75159806298,19759.0,9759.0,56800.0,2018,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0246951531919253,0.5936582690880939
51,157.0,2013.0,2,115.0,1595.0,5.0,11830.0,99617.0,814.0,79694.0,119000.0,29909.0,23873.0,109800.0,2013,11,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.2528379340677753,0.8000040153789012
8,68.0,2017.0,2,135.0,1998.0,2.0,21170.0,47501.0,1210.0,40507.0,105000.0,40838.0,44174.0,84500.0,2017,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9244804636211346,0.8527609945053788
51,191.0,2008.0,2,115.0,1796.0,5.0,11380.0,31335.0,1461.0,14260.0,165000.0,37067.0,37067.0,51800.0,2009,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.45508217647997445
6,234.0,2013.0,6,373.0,3993.0,5.0,28640.0,45586.0,4334.0,30212.0,108000.0,172046.0,281683.0,189800.0,2013,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6107787832421552,0.6627473347080244
92,559.0,2016.0,2,132.0,1798.0,1.0,14400.0,50089.0,976.0,25150.0,107529.0,31415.0,30981.0,38800.0,2016,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0140085859074917,0.5021062508734453
4,593.0,2011.0,6,316.0,4163.0,6.0,30160.0,53932.0,5888.0,36836.0,134034.1373430109,147728.0,147728.0,206000.0,2011,13,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.6830082325891864
4,127.0,2016.0,1,70.0,999.0,5.0,15850.0,48556.0,392.0,17925.0,82308.0,21256.0,6759.0,48800.0,2017,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3.144843911821275,0.3691613806738611
14,279.0,2022.0,10,92.0,2943.0604726605898,1.0,11920.0,23143.0,3139.8764646865757,22217.0,61148.06626047296,47243.0,2363.0,114500.0,2024,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.992805755395683,0.9599879013092512
29,746.0,2017.0,8,112.0,1496.0,1.0,14750.0,53001.0,682.0,18276.0,94000.0,26381.0,5000.0,45000.0,2017,7,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,5.2762,0.34482368257202695
4,579.0,2019.0,8,185.0,1984.0,1.0,22720.0,35889.0,1194.0,61850.0,61000.0,43839.0,53375.0,164800.0,2020,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.8213395784543326,1.7233692774944969
88,152.0,2019.0,4,134.0,2493.0,2.0,26730.0,41001.0,1792.0,62153.0,54000.0,40098.0,48138.0,193888.0,2020,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8329801819768167,1.5158898563449672
22,57.0,1986.0,6,458.0,3185.0,5.0,276380.0,59798.0,3382.7481548403584,7962.0,45000.0,122060.18505794698,172965.75000385655,368000.0,1986,38,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0.7056899129175889,0.13314826582828856
92,388.0,2015.0,1,90.0,1395.0,2.0,11950.0,56001.0,624.0,12171.0,94120.10700269065,19158.0,9158.0,19800.0,2015,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0919414719371043,0.21733540472491564
31,140.0,2018.0,3,73.0,1368.0,3.0,12370.0,41400.0,608.0,19845.0,112625.59981411521,7828.0,7828.0,48000.0,2018,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.47934782608695653
65,491.0,2014.0,8,250.0,2997.0,4.0,48410.0,77600.0,2382.0,57470.0,116000.0,71450.0,100610.0,95000.0,2015,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.7101679753503628,0.7405927835051547
31,368.0,2008.0,1,48.0,1086.0,1.0,9090.0,30284.0,663.0,13267.0,130000.0,7890.0,7890.0,39800.0,2008,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.4380861180821556
87,511.0,2021.0,2,377.0,4477.293067221781,1.0,16090.0,62600.0,5384.0,88663.0,87000.0,73264.0,58876.0,143800.0,2021,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.2443780148107888,1.4163418530351437
88,406.0,2021.0,8,160.0,2487.0,2.0,25680.0,61001.0,1784.0,68692.0,60000.0,40927.0,34298.0,198000.0,2021,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1.1932765758936381,1.1260799003295028
93,636.0,2013.0,2,84.0,1560.0,2.0,9230.0,79237.0,1278.0,77240.0,135104.0,32318.0,22246.0,89998.0,2014,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.452755551559831,0.9747971276045282
65,209.0,2015.0,8,220.0,3598.0,3.0,40090.0,59889.0,3322.0,76913.0,146053.0,83334.0,122002.0,126688.0,2016,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6830543761577679,1.2842592128771562
62,558.0,2016.0,10,100.0,1560.0,1.0,8130.0,28489.0,862.8123364735181,8687.0,83830.01823682283,19591.0,980.0,24800.0,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.990816326530613,0.3049247077819509
43,263.0,2015.0,8,177.0,1999.0,2.0,20800.0,60001.0,1212.0,56032.0,49973.0,63835.0,86903.0,71998.0,2015,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.7345546183676053,0.9338511024816253
93,636.0,2017.0,2,140.0,1969.0,2.0,14500.0,48001.0,1764.0,29342.0,113000.0,28059.0,21283.0,58000.0,2017,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.3183761687731992,0.6112789316889231
85,315.0,2021.0,10,82.0,658.0,1.0,9200.0,29426.0,-557.595421006795,22654.0,14000.0,15309.0,766.0,70800.0,2022,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,19.985639686684074,0.7698633861211174
54,167.0,2021.0,3,59.0,1193.0,1.0,11910.0,41001.0,506.0,33113.0,19498.0,14397.0,5000.0,87800.0,2021,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2.8794,0.8076144484280872
54,464.0,2008.0,3,80.0,1499.0,1.0,12680.0,27571.0,1026.0,12154.0,123928.0,18193.0,18193.0,55888.0,2008,16,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.4408255050596641
83,347.0,2016.0,8,177.0,1998.0,2.0,14990.0,48209.0,1210.0,24143.0,99000.0,19237.0,19237.0,48800.0,2017,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.5007986060694062
85,675.0,2023.0,10,82.0,658.0,1.0,8830.0,59950.0,-598.0334602166986,58965.0,500.0,15101.0,756.0,86800.0,2024,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.974867724867725,0.9835696413678066
29,274.0,2024.0,4,242.0,1993.0,1.0,21780.0,102334.0,1204.0,112080.0,45.0,38060.0,40284.0,236988.0,2024,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.9447919769635588,1.0952371645787324
29,524.0,2022.0,10,104.0,658.0,2.0,8620.0,31569.0,-418.8733100610143,24364.0,33000.0,18213.0,911.0,66500.0,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99231613611416,0.7717697741455225
49,14.0,2019.0,8,121.0,1998.0,1.0,16650.0,39889.0,1210.0,45230.0,100773.0,29591.0,33428.0,102000.0,2019,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.8852159865980616,1.1338965629622202
51,221.0,2016.0,7,90.0,1595.0,2.0,16510.0,53000.0,740.0,27283.0,112638.0,31065.0,30491.0,48000.0,2016,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0188252271161982,0.5147735849056604
88,408.0,2016.0,10,0.0,2982.0,3.0,15500.0,5591.0,3172.196789434526,1147.0,122185.48169896833,29761.0,1489.0,31800.0,2016,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.987239758227,0.20515113575389018
83,430.0,2008.0,1,184.0,1994.0,6.0,16070.0,31553.0,1809.0,14333.0,151624.69612879766,25958.0,25958.0,73000.0,2008,16,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.4542515767121985
8,767.0,2011.0,8,225.0,2979.0,5.0,17720.0,53932.0,3071.0,38004.0,140000.0,60060.0,60060.0,124888.0,2011,13,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.7046651338722836
93,733.0,2018.0,1,140.0,1969.0,1.0,15180.0,39889.0,1176.0,38703.0,65404.0,22799.0,23919.0,91000.0,2019,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.9531752999707346,0.9702674922911079
29,220.0,2008.0,3,103.0,1799.0,6.0,13670.0,32121.0,1467.0,13605.0,152727.8894574379,24242.0,24242.0,57888.0,2008,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.4235546838516858
51,375.0,2017.0,8,90.0,1595.0,2.0,18470.0,41400.0,740.0,35452.0,73000.0,28082.0,31315.0,83000.0,2018,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.8967587418170206,0.856328502415459
88,406.0,2016.0,8,111.0,1986.0,2.0,17190.0,47604.0,1196.0,23697.0,94448.0,28882.0,27435.0,44800.0,2016,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0527428467286313,0.4977943029997479
51,130.0,2018.0,1,120.0,1332.0,2.0,19950.0,31101.0,586.0,39890.0,58400.0,32046.0,36865.0,108800.0,2019,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.8692798046927981,1.2825954149384264
51,284.0,2006.0,2,120.0,1796.0,2.0,11400.0,52491.0,1461.0,15100.0,146208.0,57169.0,40019.0,32800.0,2007,17,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1.4285464404407906,0.28766836219542397
