make,model,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,dereg_value,price
hyundai,hyundai-elantra,2017.0,07-sep-2017,mid-sized sedan,"parf car, premium ad car",0,1345.0,93.0,1591.0,1.0,13700.0,46778,23273.0,50500.0
honda,honda-e,2015.0,14-dec-2015,mpv,"parf car, premium ad car, low mileage car",0,1855.0,129.0,2356.0,2.0,20010.0,57501,25993.0,45800.0
honda,honda-stream,2008.0,05-dec-2008,mpv,"coe car, low mileage car",0,1350.0,103.0,1799.0,1.0,12860.0,31553,13442.0,54800.0
volkswagen,volkswagen-arteon,2017.0,29-dec-2017,luxury sedan,"parf car, premium ad car, low mileage car",0,1716.0,206.0,1984.0,1.0,22110.0,53711,54192.0,103800.0
mazda,mazda-3,2017.0,17-feb-2017,mid-sized sedan,parf car,0,1331.0,88.0,1496.0,1.0,15130.0,48401,21745.0,47800.0
bentley,bentley-continental,2022.0,13-apr-2023,sports car,"parf car, premium ad car, low mileage car",0,2335.0,404.0,3996.0,1.0,116950.0,107889,485041.0,1288888.0
bmw,bmw-430i,2016.0,18-nov-2016,luxury sedan,"parf car, premium ad car, low mileage car",0,1540.0,185.0,1998.0,3.0,26250.0,56206,48636.0,92888.0
mercedes-benz,mercedes-benz-e230,2008.0,21-jan-2009,luxury sedan,"coe car, premium ad car",0,1605.0,150.0,2497.0,2.0,10510.0,31553,14350.0,47800.0
honda,honda-cr-v,2016.0,06-apr-2016,suv,parf car,0,1574.0,140.0,2354.0,3.0,15870.0,46502,27206.0,45800.0
mercedes-benz,mercedes-benz-glc250,2019.0,03-jan-2020,suv,parf car,0,1735.0,155.0,1991.0,1.0,24340.0,41805,63175.0,161800.0
honda,honda-shuttle,2018.0,28-feb-2019,stationwagon,"parf car, premium ad car, low mileage car",0,1130.0,97.0,1496.0,2.0,14240.0,26301,19110.0,70800.0
mercedes-benz,mercedes-benz-amg,2022.0,06-jan-2023,suv,"parf car, consignment car, sgcarmart warranty cars",0,2505.0,243.0,2925.0,1.0,44570.0,108006,194953.0,450000.0
bmw,bmw-216i,2018.0,24-may-2018,mpv,"parf car, premium ad car",0,1480.0,75.0,1499.0,3.0,13980.0,38001,39297.0,72888.0
honda,honda-city,2018.0,22-may-2018,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",0,1096.0,88.0,1497.0,2.0,13020.0,38389,25705.0,57800.0
ssangyong,ssangyong-actyon,2011.0,12-aug-2011,truck,"coe car, low mileage car",0,1800.0,19.0,1998.0,3.0,9570.0,39522,28293.0,68500.0
isuzu,isuzu-cyz52k,2012.0,10-oct-2012,truck,coe car,1,11800.0,19.0,15681.0,1.0,25730.0,26442,16155.0,78600.0
audi,audi-q2,2019.0,26-mar-2019,suv,parf car,0,1315.0,85.0,999.0,1.0,16260.0,26659,31345.0,89800.0
volvo,volvo-v40,2015.0,18-dec-2015,hatchback,"parf car, sgcarmart warranty cars",0,1450.0,90.0,1498.0,3.0,14230.0,56989,18889.0,30800.0
mitsubishi,mitsubishi-asx,2016.0,26-oct-2016,suv,"parf car, premium ad car",0,1355.0,110.0,1998.0,1.0,14090.0,55501,24532.0,42800.0
nissan,nissan-cabstar,2016.0,14-sep-2017,truck,premium ad car,1,1800.0,19.0,2953.0,1.0,10570.0,42809,13159.0,32500.0
volkswagen,volkswagen-golf,2015.0,29-jul-2016,hatchback,parf car,0,1249.0,92.0,1395.0,2.0,15830.0,53000,17656.0,38888.0
honda,honda-shuttle,2018.0,12-jun-2018,stationwagon,"parf car, premium ad car, hybrid cars",0,1190.0,101.0,1496.0,2.0,14890.0,38700,18094.0,59600.0
toyota,toyota-harrier,2008.0,23-sep-2009,suv,"coe car, low mileage car",0,1600.0,118.0,2362.0,5.0,11920.0,37941,20010.0,62888.0
kia,kia-cerato,2014.0,29-sep-2014,mid-sized sedan,"coe car, premium ad car, sgcarmart warranty cars",0,1295.0,95.0,1591.0,2.0,11850.0,39241,38273.0,57800.0
jaguar,jaguar-i-pace,2021.0,28-jan-2022,suv,"parf car, electric cars",0,2208.0,294.0,1911.0,1.0,24030.0,82501,122194.0,219800.0
toyota,toyota-estima,2008.0,20-jun-2008,mpv,"coe car, premium ad car",0,1750.0,125.0,2362.0,4.0,12910.0,50578,17973.0,45888.0
hyundai,hyundai-avante,2009.0,16-feb-2009,mid-sized sedan,"coe car, premium ad car, low mileage car",0,1264.0,89.0,1591.0,5.0,9910.0,25727,11475.0,44188.0
nissan,nissan-qashqai,2017.0,31-mar-2017,suv,"parf car, premium ad car",0,1285.0,85.0,1197.0,1.0,14340.0,50789,22315.0,46800.0
mini,mini-cooper,2011.0,31-jan-2012,hatchback,"coe car, premium ad car",0,1295.0,88.0,1598.0,2.0,14850.0,27020,13754.0,37800.0
toyota,toyota-hiace,2012.0,02-aug-2012,bus/mini bus,"coe car, premium ad car",0,2180.0,0.0,2982.0,3.0,13730.0,26276,15996.0,41800.0
hyundai,hyundai-avante,2009.0,07-aug-2009,mid-sized sedan,"coe car, consignment car",0,1264.0,89.0,1591.0,4.0,10010.0,26175,12765.0,48800.0
mg,mg-f,1995.0,06-nov-1998,sports car,"coe car, premium ad car, low mileage car",0,1562.0,245.0,1796.0,6.0,11050.0,32279,14141.0,48400.0
lexus,lexus-rx,2023.0,31-oct-2023,suv,"parf car, almost new car, low mileage car, hybrid cars",0,1960.0,184.0,2487.0,1.0,34670.0,150001,180001.0,377800.0
mazda,mazda-2,2016.0,27-may-2016,luxury sedan,"parf car, premium ad car",0,1513.0,141.0,2488.0,3.0,12510.0,49700,26306.0,38800.0
volkswagen,volkswagen-golf,2018.0,29-may-2019,hatchback,"parf car, premium ad car, low mileage car",0,1270.0,92.0,1395.0,2.0,15870.0,27000,31987.0,91888.0
kia,kia-stonic,2020.0,07-oct-2020,suv,"parf car, low mileage car",0,1185.0,88.0,998.0,1.0,14170.0,38504,30766.0,92800.0
mazda,mazda-3,2019.0,04-jan-2021,mid-sized sedan,"parf car, hybrid cars",0,1397.0,88.0,1496.0,1.0,15330.0,37690,34489.0,105988.0
seat,seat-leon,2017.0,23-nov-2018,stationwagon,parf car,0,1259.0,85.0,999.0,1.0,12750.0,28199,32338.0,70800.0
audi,audi-q3,2021.0,26-apr-2021,suv,"parf car, premium ad car",0,1545.0,110.0,1395.0,1.0,19940.0,47001,54458.0,148999.0
hyundai,hyundai-i30,2018.0,12-mar-2019,hatchback,"parf car, premium ad car, sgcarmart warranty cars",0,1240.0,103.0,1353.0,1.0,15770.0,36961,30191.0,83800.0
nissan,nissan-nv350,2019.0,21-feb-2020,van,premium ad car,1,1800.0,12.0,2488.0,1.0,11060.0,25001,14014.0,61988.0
bmw,bmw-x4,2019.0,16-aug-2019,suv,"parf car, direct owner sale",0,1720.0,135.0,1998.0,2.0,27800.0,40001,64457.0,173000.0
nissan,nissan-note,2021.0,17-feb-2022,hatchback,"parf car, premium ad car, hybrid cars",0,1220.0,85.0,1198.0,2.0,13970.0,60761,51509.0,110500.0
toyota,toyota-rush,2008.0,29-sep-2008,suv,"coe car, premium ad car",0,1150.0,80.0,1495.0,4.0,11600.0,32339,13609.0,48800.0
hyundai,hyundai-elantra,2017.0,02-nov-2017,mid-sized sedan,"parf car, premium ad car",0,1345.0,93.0,1591.0,2.0,15980.0,41761,21893.0,60000.0
mini,mini-cooper,2015.0,26-feb-2016,hatchback,parf car,0,1320.0,100.0,1499.0,2.0,19110.0,46970,21766.0,45000.0
lexus,lexus-es,2015.0,28-aug-2015,luxury sedan,"parf car, premium ad car, low mileage car",0,1615.0,135.0,2494.0,1.0,18320.0,62140,32758.0,42800.0
mercedes-benz,mercedes-benz-glc200,2018.0,23-jan-2019,suv,parf car,0,1705.0,135.0,1991.0,2.0,23440.0,31001,49741.0,128800.0
peugeot,peugeot-partner,2017.0,19-jun-2018,van,premium ad car,0,1460.0,12.0,1560.0,2.0,8430.0,30280,12145.0,33800.0
honda,honda-vezel,2017.0,02-aug-2017,suv,"parf car, hybrid cars",0,1280.0,112.0,1496.0,2.0,14870.0,50001,18483.0,47800.0
honda,honda-civic,2007.0,17-jan-2008,mid-sized sedan,"coe car, premium ad car, low mileage car",0,1220.0,92.0,1595.0,6.0,16910.0,42698,15137.0,60000.0
honda,honda-fit,2018.0,23-jul-2018,hatchback,"parf car, hybrid cars",0,1080.0,101.0,1496.0,2.0,13350.0,31001,18404.0,56800.0
mercedes-benz,mercedes-benz-amg,2013.0,24-oct-2013,luxury sedan,"coe car, premium ad car, sgcarmart warranty cars",0,1430.0,115.0,1595.0,5.0,11830.0,99617,79694.0,109800.0
bmw,bmw-420i,2017.0,27-jun-2017,luxury sedan,parf car,0,1540.0,135.0,1998.0,2.0,21170.0,47501,40507.0,84500.0
mercedes-benz,mercedes-benz-c180,2008.0,25-feb-2009,luxury sedan,"coe car, premium ad car",0,1485.0,115.0,1796.0,5.0,11380.0,31335,14260.0,51800.0
bentley,bentley-continental,2013.0,11-dec-2013,sports car,"coe car, consignment car",0,2295.0,373.0,3993.0,5.0,28640.0,45586,30212.0,189800.0
volkswagen,volkswagen-passat,2016.0,01-apr-2016,luxury sedan,"parf car, premium ad car",0,1480.0,132.0,1798.0,1.0,14400.0,50089,25150.0,38800.0
audi,audi-r8,2011.0,14-jul-2011,sports car,"coe car, premium ad car",0,1565.0,316.0,4163.0,6.0,30160.0,53932,36836.0,206000.0
audi,audi-a1,2016.0,27-apr-2017,hatchback,"parf car, premium ad car",0,1165.0,70.0,999.0,5.0,15850.0,48556,17925.0,48800.0
citroen,citroen-e-dispatch,2022.0,19-jan-2024,van,"almost new car, electric cars",0,2000.0,12.0,1840.0,1.0,11920.0,23143,22217.0,114500.0
honda,honda-vezel,2017.0,30-jun-2017,suv,"parf car, premium ad car, hybrid cars",0,1280.0,112.0,1496.0,1.0,14750.0,53001,18276.0,45000.0
audi,audi-q5,2019.0,13-jul-2020,suv,"parf car, premium ad car",0,1795.0,185.0,1984.0,1.0,22720.0,35889,61850.0,164800.0
toyota,toyota-alphard,2019.0,22-oct-2020,mpv,parf car,0,1940.0,134.0,2493.0,2.0,26730.0,41001,62153.0,193888.0
ferrari,ferrari-328,1986.0,01-sep-1986,sports car,"coe car, rare & exotic, low mileage car, vintage cars",1,1562.0,245.0,3185.0,5.0,276380.0,59798,7962.0,368000.0
volkswagen,volkswagen-golf,2015.0,20-nov-2015,hatchback,parf car,0,1249.0,90.0,1395.0,2.0,11950.0,56001,12171.0,19800.0
hyundai,hyundai-accent,2018.0,07-feb-2018,mid-sized sedan,"parf car, sgcarmart warranty cars",0,1115.0,73.0,1368.0,3.0,12370.0,41400,19845.0,48000.0
porsche,porsche-macan,2014.0,19-may-2015,suv,"parf car, direct owner sale",0,1940.0,250.0,2997.0,4.0,48410.0,77600,57470.0,95000.0
hyundai,hyundai-getz,2008.0,12-nov-2008,hatchback,"coe car, low mileage car",1,1122.0,48.0,1086.0,1.0,9090.0,30284,13267.0,39800.0
tesla,tesla-model,2021.0,20-sep-2021,luxury sedan,"parf car, consignment car, electric cars",0,1844.0,377.0,2136.0,1.0,16090.0,62600,88663.0,143800.0
toyota,toyota-harrier,2021.0,27-aug-2021,suv,"parf car, direct owner sale, hybrid cars",0,1665.0,160.0,2487.0,2.0,25680.0,61001,68692.0,198000.0
volvo,volvo-s60,2013.0,14-mar-2014,luxury sedan,"coe car, consignment car",0,1549.0,84.0,1560.0,2.0,9230.0,79237,77240.0,89998.0
porsche,porsche-cayenne,2015.0,04-feb-2016,suv,"parf car, premium ad car",0,2115.0,220.0,3598.0,3.0,40090.0,59889,76913.0,126688.0
peugeot,peugeot-partner,2016.0,03-aug-2017,van,-,0,1460.0,12.0,1560.0,1.0,8130.0,28489,8687.0,24800.0
land rover,land rover-discovery,2015.0,30-oct-2015,suv,"parf car, low mileage car",0,1841.0,177.0,1999.0,2.0,20800.0,60001,56032.0,71998.0
volvo,volvo-s60,2017.0,21-sep-2017,luxury sedan,parf car,0,1615.0,140.0,1969.0,2.0,14500.0,48001,29342.0,58000.0
suzuki,suzuki-every,2021.0,25-feb-2022,van,"premium ad car, low mileage car",0,920.0,12.0,658.0,1.0,9200.0,29426,22654.0,70800.0
mitsubishi,mitsubishi-attrage,2021.0,13-aug-2021,mid-sized sedan,"parf car, low mileage car, sgcarmart warranty cars",0,945.0,59.0,1193.0,1.0,11910.0,41001,33113.0,87800.0
mitsubishi,mitsubishi-lancer,2008.0,11-dec-2008,mid-sized sedan,"coe car, direct owner sale, low mileage car",0,1313.0,80.0,1499.0,1.0,12680.0,27571,12154.0,55888.0
subaru,subaru-forester,2016.0,25-feb-2017,suv,"parf car, premium ad car",0,1682.0,177.0,1998.0,2.0,14990.0,48209,24143.0,48800.0
suzuki,suzuki-spacia,2023.0,15-apr-2024,van,"almost new car, low mileage car",0,840.0,12.0,658.0,1.0,8830.0,59950,58965.0,86800.0
honda,honda-e,2024.0,28-jun-2024,mpv,"parf car, almost new car, low mileage car, hybrid cars",0,1920.0,242.0,1993.0,1.0,21780.0,102334,112080.0,236988.0
honda,honda-n-van,2022.0,29-apr-2022,van,-,0,940.0,12.0,658.0,2.0,8620.0,31569,24364.0,66500.0
mazda,mazda-2,2019.0,29-aug-2019,suv,"parf car, premium ad car",0,1576.0,121.0,1998.0,1.0,16650.0,39889,45230.0,102000.0
mercedes-benz,mercedes-benz-cla180,2016.0,12-aug-2016,stationwagon,"parf car, premium ad car",0,1460.0,90.0,1595.0,2.0,16510.0,53000,27283.0,48000.0
toyota,toyota-hiace,2016.0,06-sep-2016,van,-,1,1760.0,0.0,2982.0,3.0,15500.0,5591,1147.0,31800.0
subaru,subaru-impreza,2008.0,30-dec-2008,hatchback,"coe car, premium ad car",0,1390.0,184.0,1994.0,6.0,16070.0,31553,14333.0,73000.0
bmw,bmw-x3,2011.0,12-aug-2011,suv,"coe car, premium ad car",0,1805.0,225.0,2979.0,5.0,17720.0,53932,38004.0,124888.0
volvo,volvo-v40,2018.0,29-aug-2019,hatchback,"parf car, premium ad car",0,1441.0,140.0,1969.0,1.0,15180.0,39889,38703.0,91000.0
honda,honda-civic,2008.0,05-nov-2008,mid-sized sedan,coe car,0,1219.0,103.0,1799.0,6.0,13670.0,32121,13605.0,57888.0
mercedes-benz,mercedes-benz-gla180,2017.0,07-feb-2018,suv,"parf car, premium ad car",0,1435.0,90.0,1595.0,2.0,18470.0,41400,35452.0,83000.0
toyota,toyota-harrier,2016.0,03-jun-2016,suv,"parf car, premium ad car",0,1610.0,111.0,1986.0,2.0,17190.0,47604,23697.0,44800.0
mercedes-benz,mercedes-benz-a200,2018.0,20-feb-2019,hatchback,"parf car, premium ad car",0,1375.0,120.0,1332.0,2.0,19950.0,31101,39890.0,108800.0
mercedes-benz,mercedes-benz-e200,2006.0,21-jun-2007,luxury sedan,"coe car, premium ad car, low mileage car",0,1690.0,120.0,1796.0,2.0,11400.0,52491,15100.0,32800.0
mercedes-benz,mercedes-benz-citan,2015.0,21-sep-2015,van,premium ad car,1,1420.0,12.0,1461.0,2.0,10630.0,46801,5193.0,11800.0
mazda,mazda-cx-3,2021.0,17-may-2021,suv,"parf car, sgcarmart warranty cars",0,1256.0,85.0,1496.0,1.0,16040.0,48002,47949.0,120800.0
audi,audi-a3,2016.0,30-may-2016,luxury sedan,"parf car, direct owner sale, low mileage car",0,1310.0,92.0,1395.0,1.0,15180.0,47889,17773.0,35000.0
mercedes-benz,mercedes-benz-c180,2016.0,13-may-2016,luxury sedan,"parf car, premium ad car, low mileage car, sgcarmart warranty cars",0,1425.0,115.0,1595.0,4.0,19710.0,55001,30742.0,56000.0
kia,kia-seltos,2020.0,31-mar-2021,suv,"parf car, premium ad car",0,1323.0,103.0,1353.0,1.0,15660.0,47506,47120.0,115888.0
volvo,volvo-s90,2019.0,18-mar-2021,luxury sedan,"parf car, premium ad car",0,1695.0,187.0,1969.0,3.0,20770.0,47001,65559.0,159800.0
honda,honda-jazz,2007.0,10-oct-2007,hatchback,"coe car, premium ad car, low mileage car",0,1040.0,60.0,1339.0,1.0,11640.0,42564,13457.0,36800.0
audi,audi-a3,2021.0,01-jun-2021,hatchback,"parf car, low mileage car, hybrid cars",0,1395.0,110.0,1498.0,1.0,17670.0,63002,53895.0,126800.0
honda,honda-e,2015.0,09-oct-2015,mpv,parf car,0,1855.0,129.0,2356.0,2.0,17940.0,60001,24568.0,36800.0
audi,audi-a1,2020.0,14-dec-2021,hatchback,"parf car, premium ad car, low mileage car",0,1200.0,85.0,999.0,1.0,15070.0,57010,61952.0,125800.0
bmw,bmw-216i,2021.0,24-jun-2021,hatchback,"parf car, premium ad car",0,1380.0,80.0,1499.0,2.0,15390.0,47821,60333.0,125998.0
bmw,bmw-m3,2010.0,24-may-2011,sports car,"coe car, premium ad car",0,1675.0,309.0,3999.0,5.0,19590.0,45586,30212.0,129800.0
nissan,nissan-cabstar,2017.0,29-dec-2017,truck,premium ad car,1,1760.0,19.0,2953.0,1.0,11820.0,46890,16585.0,41800.0
honda,honda-civic,2019.0,05-sep-2019,mid-sized sedan,parf car,0,1237.0,92.0,1597.0,2.0,15980.0,31917,31200.0,90800.0
bmw,bmw-523i,2010.0,31-may-2010,luxury sedan,coe car,0,1650.0,150.0,2497.0,6.0,14510.0,37502,19594.0,75800.0
volkswagen,volkswagen-golf,2010.0,01-jun-2011,sports car,"coe car, premium ad car",0,1339.0,155.0,1984.0,4.0,16310.0,40714,26659.0,106800.0
honda,honda-freed,2019.0,29-aug-2019,mpv,"parf car, low mileage car, hybrid cars, sgcarmart warranty cars",0,1430.0,101.0,1496.0,1.0,16990.0,38602,34524.0,95800.0
mazda,mazda-3,2017.0,11-jan-2018,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",0,1310.0,88.0,1496.0,2.0,12070.0,42900,24477.0,48800.0
citroen,citroen-c4,2017.0,28-dec-2017,suv,"parf car, premium ad car",0,1050.0,81.0,1199.0,2.0,12520.0,38200,16751.0,46800.0
mercedes-benz,mercedes-benz-e200,1999.0,27-jan-2000,luxury sedan,"coe car, direct owner sale, low mileage car",0,1617.0,135.0,1998.0,5.0,10320.0,39463,22175.0,58000.0
toyota,toyota-wish,2017.0,27-apr-2018,mpv,"parf car, sgcarmart warranty cars",0,1355.0,105.0,1798.0,4.0,17290.0,38801,27970.0,76800.0
infiniti,infiniti-q60,2017.0,30-jun-2017,sports car,"parf car, premium ad car",0,1692.0,155.0,1991.0,2.0,20450.0,55000,46292.0,84888.0
honda,honda-fit,2018.0,07-jun-2018,hatchback,parf car,0,1030.0,73.0,1317.0,1.0,13160.0,38001,19327.0,53999.0
volvo,volvo-v40,2017.0,26-jan-2018,hatchback,parf car,0,1442.0,140.0,1969.0,1.0,15450.0,42661,33597.0,68822.0
bmw,bmw-x1,2019.0,23-jul-2019,suv,"parf car, premium ad car",0,1430.0,103.0,1499.0,1.0,17970.0,34000,48876.0,112800.0
bmw,bmw-228i,2015.0,19-jan-2016,sports car,"parf car, premium ad car, sgcarmart warranty cars",0,1610.0,180.0,1997.0,2.0,24830.0,59889,38528.0,61800.0
mercedes-benz,mercedes-benz-s320l,2019.0,30-apr-2019,luxury sedan,parf car,0,1940.0,200.0,2996.0,1.0,34320.0,39401,116557.0,236800.0
audi,audi-a6,2011.0,30-jan-2012,stationwagon,coe car,0,1630.0,132.0,1984.0,6.0,15870.0,45586,29874.0,104000.0
lexus,lexus-es,2019.0,23-may-2019,luxury sedan,parf car,0,1620.0,152.0,2487.0,2.0,23250.0,48010,57302.0,138800.0
toyota,toyota-vellfire,2020.0,20-dec-2022,mpv,"coe car, hybrid cars",0,2260.0,145.0,2493.0,2.0,28760.0,95856,76685.0,238800.0
toyota,toyota-harrier,2015.0,18-apr-2016,suv,"parf car, premium ad car",0,1610.0,111.0,1986.0,1.0,16550.0,47000,22943.0,40800.0
mercedes-benz,mercedes-benz-c160,2020.0,04-sep-2020,luxury sedan,"parf car, premium ad car",0,1505.0,95.0,1497.0,2.0,19470.0,32699,49530.0,136888.0
mini,mini-cooper,2017.0,09-jun-2017,sports car,"parf car, low mileage car",0,1240.0,141.0,1998.0,2.0,22780.0,54501,33745.0,81000.0
honda,honda-stream,2008.0,04-sep-2009,mpv,coe car,0,1370.0,103.0,1799.0,2.0,11480.0,37941,19812.0,59988.0
honda,honda-vezel,2016.0,02-sep-2016,suv,"parf car, sgcarmart warranty cars",0,1190.0,96.0,1496.0,3.0,15400.0,47020,18518.0,40888.0
bmw,bmw-m2,2020.0,01-aug-2023,sports car,"parf car, rare & exotic, almost new car, low mileage car",0,1650.0,302.0,2979.0,1.0,34120.0,118001,159034.0,345800.0
honda,honda-fit,2019.0,18-apr-2022,hatchback,parf car,0,1030.0,73.0,1317.0,1.0,13160.0,71556,59877.0,105800.0
toyota,toyota-noah,2019.0,23-jul-2019,mpv,"parf car, premium ad car, hybrid cars",0,1610.0,100.0,1797.0,2.0,23160.0,39889,40106.0,128800.0
bmw,bmw-730i,2016.0,01-sep-2016,luxury sedan,parf car,0,1680.0,190.0,1998.0,2.0,27810.0,58201,71965.0,110800.0
toyota,toyota-harrier,2018.0,29-mar-2019,suv,"parf car, premium ad car, sgcarmart warranty cars",0,1695.0,170.0,1998.0,1.0,18620.0,39401,42834.0,103800.0
bmw,bmw-m3,2010.0,10-nov-2011,sports car,"coe car, low mileage car",0,1675.0,309.0,3999.0,6.0,21540.0,53932,38004.0,151800.0
mini,mini-cooper,2016.0,23-may-2016,sports car,parf car,0,1390.0,141.0,1998.0,3.0,22540.0,49700,29518.0,61800.0
chevrolet,chevrolet-orlando,2017.0,29-aug-2017,mpv,"parf car, premium ad car",0,1650.0,103.0,1362.0,1.0,13400.0,52751,27088.0,50800.0
mercedes-benz,mercedes-benz-c180,2012.0,02-jan-2013,luxury sedan,"coe car, direct owner sale",0,1485.0,115.0,1595.0,3.0,12040.0,56670,43706.0,92888.0
toyota,toyota-noah,2018.0,27-jul-2018,mpv,"parf car, hybrid cars, sgcarmart warranty cars",0,1610.0,100.0,1797.0,3.0,24730.0,32551,31662.0,114800.0
mazda,mazda-2,2021.0,13-jan-2022,suv,parf car,0,1576.0,121.0,1998.0,1.0,16830.0,77700,74230.0,135800.0
honda,honda-vezel,2016.0,28-feb-2017,suv,"parf car, premium ad car",0,1190.0,96.0,1496.0,2.0,16270.0,49430,20341.0,49800.0
nissan,nissan-cabstar,2015.0,02-sep-2015,truck,premium ad car,1,1800.0,19.0,2953.0,1.0,15180.0,50002,5206.0,15800.0
peugeot,peugeot-5008,2023.0,19-jul-2023,suv,"parf car, premium ad car, low mileage car",0,1430.0,96.0,1199.0,1.0,16700.0,97000,106882.0,168800.0
bmw,bmw-630i,2008.0,29-aug-2008,sports car,"coe car, premium ad car",0,1750.0,200.0,2996.0,3.0,13730.0,34991,13968.0,54800.0
toyota,toyota-previa,2015.0,02-dec-2015,mpv,"parf car, premium ad car",0,1775.0,125.0,2362.0,1.0,20390.0,61103,33099.0,51800.0
nissan,nissan-qashqai,2016.0,22-nov-2016,suv,"parf car, premium ad car",0,1379.0,106.0,1997.0,2.0,12680.0,56206,25481.0,40700.0
mercedes-benz,mercedes-benz-c180,2011.0,14-jul-2011,luxury sedan,"coe car, premium ad car, low mileage car",0,1500.0,115.0,1597.0,2.0,12780.0,45272,31889.0,90000.0
mitsubishi,mitsubishi-canter,2015.0,06-jan-2016,truck,premium ad car,1,1800.0,19.0,2998.0,2.0,13980.0,46001,7171.0,21800.0
bmw,bmw-430i,2022.0,07-sep-2023,luxury sedan,"parf car, almost new car",0,1645.0,180.0,1998.0,1.0,26050.0,134889,167911.0,282800.0
bmw,bmw-x1,2018.0,06-dec-2018,suv,"parf car, low mileage car",0,1430.0,103.0,1499.0,2.0,18970.0,30959,41636.0,104800.0
mercedes-benz,mercedes-benz-c180,2012.0,13-mar-2013,luxury sedan,"coe car, premium ad car",0,1505.0,115.0,1595.0,2.0,12560.0,85845,68676.0,108800.0
